Card Name,Set Code,Set Name,Collector Number,Rarity,Language,Quantity,Condition,Finish,Altered,Signed,Misprint,Price (USD),Price (EUR),Price (USD Foil),Price (EUR Foil),Price (USD Etched),Price (EUR Etched),Scryfall ID,Container Type,Container Name
"Island","m12","Magic 2012","234","common","en",2,"NM","nonfoil",false,false,false,0.25,0.07,0.75,1.32,0,0,"b29cf026-521f-4345-a885-da27f7981759","deck","Ally STD - Main"
"Aang, the Last Airbender","tla","Avatar: The Last Airbender","4","uncommon","en",2,"NM","nonfoil",false,false,false,0.24,0.08,0.28,0.15,0,0,"245e008c-e073-443f-9592-6f628c0026ec","deck","Ally STD - Main"
"Airbender Ascension","tla","Avatar: The Last Airbender","6","rare","en",2,"NM","nonfoil",false,false,false,1.25,1.10,1.52,2.05,0,0,"99a90d13-891c-45cc-b1d5-6080ebae5862","deck","Ally STD - Main"
"Airbending Lesson","tla","Avatar: The Last Airbender","8","common","en",4,"NM","nonfoil",false,false,false,0.19,0.06,0.31,0.19,0,0,"e2bcd0a6-e94d-4a21-a334-a57459c1b8cc","deck","Ally STD - Main"
"Appa, Steadfast Guardian","tla","Avatar: The Last Airbender","10","mythic","en",1,"NM","nonfoil",false,false,false,7.64,10.23,9.72,11.11,0,0,"829d91e9-4878-4e55-a262-ac0d55b65d4e","deck","Ally STD - Main"
"Earth Kingdom Protectors","tla","Avatar: The Last Airbender","17","uncommon","en",1,"NM","nonfoil",false,false,false,0.28,0.11,0.27,0.22,0,0,"d263472e-1d75-4cb9-8f7b-986fa22bc841","deck","Ally STD - Main"
"Glider Kids","tla","Avatar: The Last Airbender","21","common","en",2,"NM","nonfoil",false,false,false,0.13,0.03,0.11,0.04,0,0,"0613afb5-4cee-4132-8adf-404767ed8d07","deck","Ally STD - Main"
"Glider Staff","tla","Avatar: The Last Airbender","22","uncommon","en",1,"NM","nonfoil",false,false,false,0.21,0.09,0.26,0.14,0,0,"7517f2eb-a24d-49f6-82bf-08de55d3789a","deck","Ally STD - Main"
"Momo, Friendly Flier","tla","Avatar: The Last Airbender","29","rare","en",1,"NM","nonfoil",false,false,false,0.58,0.45,0.59,0.49,0,0,"c472ef84-a632-4ad7-853c-60588a7a4b12","deck","Ally STD - Main"
"Momo, Playful Pet","tla","Avatar: The Last Airbender","30","uncommon","en",1,"NM","nonfoil",false,false,false,0.25,0.13,0.31,0.26,0,0,"9350bf4a-fa12-4867-b31f-1f1394d99571","deck","Ally STD - Main"
