Card Name,Set Code,Set Name,Collector Number,Rarity,Language,Quantity,Condition,Finish,Altered,Signed,Misprint,Price (USD),Price (EUR),Price (USD Foil),Price (EUR Foil),Price (USD Etched),Price (EUR Etched),Scryfall ID,Container Type,Container Name
"Deadly Precision","tla","Avatar: The Last Airbender","95","common","en",1,"NM","nonfoil",false,false,false,0.15,0.08,0.20,0.10,0,0,"4661daf6-d960-4278-8946-70948efaf99d","deck","BG Earthbending - Main"
"Heartless Act","tla","Avatar: The Last Airbender","103","uncommon","en",2,"NM","nonfoil",false,false,false,0.24,0.08,0.26,0.28,0,0,"b57c57a8-d72b-4c6c-a2db-a7ef61190f42","deck","BG Earthbending - Main"
"Sold Out","tla","Avatar: The Last Airbender","119","common","en",2,"NM","nonfoil",false,false,false,0.04,0.06,0.13,0.09,0,0,"1affba6d-2cca-4cdf-8690-1e23ffbe8462","deck","BG Earthbending - Main"
"Badgermole","tla","Avatar: The Last Airbender","166","common","en",2,"NM","nonfoil",false,false,false,0.13,0.06,0.26,0.20,0,0,"aabbd420-b7fc-496f-9168-bad823d51d9e","deck","BG Earthbending - Main"
"The Boulder, Ready to Rumble","tla","Avatar: The Last Airbender","168","uncommon","en",2,"NM","nonfoil",false,false,false,0.27,0.12,0.34,0.21,0,0,"ec27a466-5457-44c6-a842-1de7d3788d66","deck","BG Earthbending - Main"
"Cycle of Renewal","tla","Avatar: The Last Airbender","170","common","en",2,"NM","nonfoil",false,false,false,0.29,0.14,0.35,0.24,0,0,"233f4a05-057b-48f4-8f56-8d4a060a40e4","deck","BG Earthbending - Main"
"Earth Kingdom General","tla","Avatar: The Last Airbender","173","uncommon","en",2,"NM","nonfoil",false,false,false,0.24,0.09,0.30,0.17,0,0,"8688fce5-74b1-41e1-a59a-05a3878a75cb","deck","BG Earthbending - Main"
"Flopsie, Bumi's Buddy","tla","Avatar: The Last Airbender","179","uncommon","en",2,"NM","nonfoil",false,false,false,0.24,0.13,0.34,0.24,0,0,"082f4abc-c09f-42cf-977f-060875dfd411","deck","BG Earthbending - Main"
"Raucous Audience","tla","Avatar: The Last Airbender","190","common","en",3,"NM","nonfoil",false,false,false,0.19,0.12,0.22,0.15,0,0,"ccd03ec3-0fae-48b2-9f04-9c57d2f94267","deck","BG Earthbending - Main"
"Rebellious Captives","tla","Avatar: The Last Airbender","191","common","en",3,"NM","nonfoil",false,false,false,0.11,0.04,0.12,0.07,0,0,"e64a4a8b-323c-4c8b-92af-1a3295799e65","deck","BG Earthbending - Main"
"Rockalanche","tla","Avatar: The Last Airbender","192","uncommon","en",2,"NM","nonfoil",false,false,false,0.30,0.15,0.32,0.36,0,0,"52b213d3-6f68-43e6-91e9-435d8fe1f34c","deck","BG Earthbending - Main"
"Rocky Rebuke","tla","Avatar: The Last Airbender","193","common","en",3,"NM","nonfoil",false,false,false,0.14,0.05,0.21,0.13,0,0,"52fd910f-6d42-41f5-a4be-f375aa254ea2","deck","BG Earthbending - Main"
"Toph, the Blind Bandit","tla","Avatar: The Last Airbender","198","uncommon","en",2,"NM","nonfoil",false,false,false,0.27,0.08,0.42,0.26,0,0,"ff68fa7b-8065-407b-a8b4-bfbb14f1c99c","deck","BG Earthbending - Main"
"True Ancestry","tla","Avatar: The Last Airbender","199","uncommon","en",2,"NM","nonfoil",false,false,false,0.28,0.12,0.35,0.26,0,0,"8c55b333-dc8b-4332-895b-eec5eb45543f","deck","BG Earthbending - Main"
"Beifong's Bounty Hunters","tla","Avatar: The Last Airbender","209","rare","en",1,"NM","nonfoil",false,false,false,0.29,0.34,0.36,0.42,0,0,"4f88ec3a-44a7-4ae5-a68c-24294dabaeed","deck","BG Earthbending - Main"
"Dai Li Agents","tla","Avatar: The Last Airbender","214","uncommon","en",2,"NM","nonfoil",false,false,false,0.17,0.09,0.19,0.17,0,0,"9ddb8715-341b-400a-b6eb-f3f90518157c","deck","BG Earthbending - Main"
"Earth Village Ruffians","tla","Avatar: The Last Airbender","219","common","en",2,"NM","nonfoil",false,false,false,0.13,0.02,0.14,0.04,0,0,"56d4e0b7-232f-4953-84a3-e6f17781aa45","deck","BG Earthbending - Main"
"Long Feng, Grand Secretariat","tla","Avatar: The Last Airbender","233","uncommon","en",2,"NM","nonfoil",false,false,false,0.19,0.11,0.20,0.23,0,0,"a3eb92fe-bc59-4472-9028-f368bd015609","deck","BG Earthbending - Main"
"Foggy Bottom Swamp","tla","Avatar: The Last Airbender","269","common","en",2,"NM","nonfoil",false,false,false,0.21,0.05,0.25,0.08,0,0,"226af626-873d-4bd2-b889-000f8316786f","deck","BG Earthbending - Main"
"Rumble Arena","tla","Avatar: The Last Airbender","277","common","en",4,"NM","nonfoil",false,false,false,0.23,0.10,0.31,0.19,0,0,"3f5d2c38-663c-4f64-8cfc-c102462e82ef","deck","BG Earthbending - Main"
"Secret Tunnel","tla","Avatar: The Last Airbender","278","rare","en",1,"NM","nonfoil",false,false,false,2.63,1.46,2.54,1.88,0,0,"2d39a0e1-6484-409c-ab05-5b276925a949","deck","BG Earthbending - Main"
"Swamp","tla","Avatar: The Last Airbender","284","common","en",2,"NM","nonfoil",false,false,false,0.18,0.14,0.25,0.15,0,0,"f0b234d8-d6bb-48ec-8a4d-d8a570a69c62","deck","BG Earthbending - Main"
"Forest","tla","Avatar: The Last Airbender","286","common","en",14,"NM","nonfoil",false,false,false,0.19,0.14,0.25,0.16,0,0,"a305e44f-4253-4754-b83f-1e34103d77b0","deck","BG Earthbending - Main"
