Card Name,Set Code,Set Name,Collector Number,Rarity,Language,Quantity,Condition,Finish,Altered,Signed,Misprint,Price (USD),Price (EUR),Price (USD Foil),Price (EUR Foil),Price (USD Etched),Price (EUR Etched),Scryfall ID,Container Type,Container Name
"Island","blb","Bloomburrow","268","common","en",1,"NM","nonfoil",false,false,false,0.39,0.21,0.47,0.38,0,0,"408eb23f-13fa-4f98-b316-18e3057f9136","deck","Lessons STD - Main"
"Mountain","j25","Foundations Jumpstart","90","common","en",2,"NM","nonfoil",false,false,false,0.13,0.08,0,0,0,0,"a3a4da7d-a703-4f91-9ef7-ce269c0b63fb","deck","Lessons STD - Main"
"Mountain","j25","Foundations Jumpstart","91","common","en",1,"NM","nonfoil",false,false,false,0.13,0.02,0,0,0,0,"83706d20-fbb0-4a0a-b9c3-70e6fa3fdcf9","deck","Lessons STD - Main"
"Island","lrw","Lorwyn","288","common","en",2,"NM","nonfoil",false,false,false,0.38,0.23,1.11,1.00,0,0,"d714d196-8cbc-4b53-8219-21044a017bce","deck","Lessons STD - Main"
"Island","lrw","Lorwyn","289","common","en",3,"NM","nonfoil",false,false,false,0.58,0.43,1.49,0.70,0,0,"a35d9548-f495-43ef-af66-e13a84c1f12a","deck","Lessons STD - Main"
"Mountain","otj","Outlaws of Thunder Junction","283","common","en",1,"NM","nonfoil",false,false,false,0.20,0.11,0.16,0.15,0,0,"9137b4aa-2289-4a4d-b1f5-ae75a0928278","deck","Lessons STD - Main"
"Mountain","snc","Streets of New Capenna","268","common","en",2,"NM","nonfoil",false,false,false,0.10,0.02,0.16,0.13,0,0,"fac247df-aa19-4627-8d65-6ddf5e7e5c8c","deck","Lessons STD - Main"
"Mountain","snc","Streets of New Capenna","269","common","en",1,"NM","nonfoil",false,false,false,0.09,0.04,0.12,0.10,0,0,"4abb2702-6f5e-4832-9e23-46aaf9f960f8","deck","Lessons STD - Main"
"Mountain","tdm","Tarkir: Dragonstorm","284","common","en",1,"NM","nonfoil",false,false,false,0.20,0.16,0.28,0.16,0,0,"3df7c206-97b6-49d7-ba01-7a35fd8c61d9","deck","Lessons STD - Main"
"Aang's Journey","tla","Avatar: The Last Airbender","1","common","en",2,"NM","nonfoil",false,false,false,0.26,0.04,0.28,0.23,0,0,"5e51f727-5a9b-4bc7-83a9-dbcf1c933e15","deck","Lessons STD - Main"
