"sep=,"
Card Type,Quantity,Card Name,Mana Cost,Min Price (LOW)
creature,1,"Healer's Hawk",{W},0.01
creature,2,Suntail Hawk,{W},0.01
creature,2,"Ajani's Pridemate",{1}{W},0.01
creature,2,Fortified Rampart,{1}{W},0.03
creature,1,Selfless Spirit,{1}{W},0.45
creature,2,Sungrace Pegasus,{1}{W},0.01
creature,1,Wall of Essence,{1}{W},0.14
creature,2,Archetype of Courage,{1}{W}{W},0.65
creature,2,Skyhunter Prowler,{2}{W},0.01
creature,1,Skyhunter Skirmisher,{1}{W}{W},0.09
creature,1,Paragon of New Dawns,{3}{W},0.01
creature,1,Seraph of Dawn,{2}{W}{W},0.01
creature,4,Serra Angel,{3}{W}{W},0.01
planeswalker,1,"Teyo, the Shieldmage",{2}{W},0.12
instant,1,Glimpse the Sun God,{X}{W},0.01
instant,1,Gods Willing,{W},0.01
instant,3,Immolating Glare,{1}{W},0.01
instant,1,Safe Passage,{2}{W},0.01
enchantment,2,Ethereal Armor,{W},0.09
enchantment,4,Pacifism,{1}{W},0.01
enchantment,3,Banishing Light,{2}{W},0.01
land,20,Plains,,0.01
land,2,Sandstone Bridge,,0.01
