simple_name,where_its_from,category
Aaron,Old Testament,Person
Abagtha,Old Testament,Person
Abda,Old Testament,Person
Abda,Old Testament,Person
Abdeel,Old Testament,Person
Abdi,Old Testament,Person
Abdi,Old Testament,Person
Abdi,Old Testament,Person
Abdiel,Old Testament,Person
Abdon,Old Testament,Person
Abdon,Old Testament,Person
Abdon,Judges,Person
Abdon,Old Testament,Person
Abednego,Unknown,Person
Abel,Genesis,Person
Abi,Old Testament,Person
Abi-Albon,Old Testament,Person
Abia,Old Testament,Person
Abiah,Old Testament,Person
Abiah,Old Testament,Person
Abiasaph,Old Testament,Person
Abiathar,Old Testament,Person
Abida,Old Testament,Person
Abidah,Old Testament,Person
Abidan,Old Testament,Person
Abieezer,Old Testament,Person
Abiel,Old Testament,Person
Abiezer,Old Testament,Person
Abiezer,Old Testament,Person
Abiezer,Old Testament,Person
Abiezrite,Old Testament,Person
Abigail,Old Testament,Person
Abigail,Old Testament,Person
Abihail,Old Testament,Person
Abihail,Esther,Person
Abihail,Old Testament,Person
Abihail,Old Testament,Person
Abihail,Old Testament,Person
Abihu,Old Testament,Person
Abihud,Old Testament,Person
Abihud,New Testament,Person
Abijah,Old Testament,Person
Abijah,Old Testament,Person
Abijah,Old Testament,Person
Abijam,Old Testament,Person
Abimael,Genesis,Person
Abimelech,Old Testament,Person
Abimelech,Old Testament,Person
Abimelech,Old Testament,Person
Abinadab,Old Testament,Person
Abinadab,Old Testament,Person
Abiram,Numbers,Person
Abiram,Old Testament,Person
Abishag,Old Testament,Person
Abishai,Old Testament,Person
Abishua,Old Testament,Person
Abner,Old Testament,Person
Abraham,Genesis,Person
Absalom,Old Testament,Person
Achaichus,New Testament,Person
Achan,Old Testament,Person
Achbor,Old Testament,Person
Achish I,Old Testament,Person
Achish II,Old Testament,Person
Adah,Genesis,Person
Adam,Genesis,Person
Addon,Old Testament,Person
Adino,Old Testament,Person
Adonibezek,Old Testament,Person
Adonijah,Old Testament,Person
Adoniram,Old Testament,Person
Adonizedek,Old Testament,Person
Adriel,Old Testament,Person
Agabus,New Testament,Person
Agag,Old Testament,Person
Agag,Old Testament,Person
Agrippina,Romans,Person
Agur,Old Testament,Person
Ahab,Old Testament,Person
Ahaz,Old Testament,Person
Ahaziah of Israel,Old Testament,Person
Ahaziah of Judah,Old Testament,Person
Ahihud,Old Testament,Person
Ahimelech,Old Testament,Person
Ahinoam,Old Testament,Person
Ahithophel,Old Testament,Person
Alexander the Great,Old Testament,Person
Amasa,Old Testament,Person
Amaziah,Old Testament,Person
Amminadab,Old Testament,Person
Amnon,Old Testament,Person
Amon,Old Testament,Person
Amos,Old Testament,Person
Ananias,New Testament,Person
Ananias,New Testament,Person
Ananias,Acts,Person
Andrew,New Testament,Person
Andronicus,New Testament,Person
Angels,Old Testament,Person
Anna,New Testament,Person
Annas,New Testament,Person
Antichrist,Unknown,Person
Antipater,Unknown,Person
Antonius Felix,Romans,Person
Apollos,New Testament,Person
Apostle,Unknown,Person
Aquila,New Testament,Person
Aram,Genesis,Person
Aratus,New Testament,Person
Armoni,Old Testament,Person
Arphaxad,Genesis,Person
Artaxerxes I,Old Testament,Person
Asa,Old Testament,Person
Asahel,Old Testament,Person
Asaph,Old Testament,Person
Asher,Old Testament,Person
Ashpenaz,Daniel,Person
Ashur-dan III,Old Testament,Person
Ashurbanipal,Old Testament,Person
Asshur,Genesis,Person
Athaliah,Old Testament,Person
Augustus Caesar,Romans,Person
Azariah,Old Testament,Person
Azariah,Old Testament,Person
Azubah,Old Testament,Person
Baasha,Old Testament,Person
Balaam,Numbers,Person
Balak,Numbers,Person
Barak,Judges,Person
Barnabas,New Testament,Person
Bartimaeus,New Testament,Person
Baruch,Old Testament,Person
Barzillai the Gileadite,Old Testament,Person
Basemath,Genesis,Person
Basemath,Old Testament,Person
Bathsheba,Old Testament,Person
Beeri the Hittite,Genesis,Person
Belshazzar,Old Testament,Person
Ben Hadad,Old Testament,Person
Ben-Ammi,Genesis,Person
Benaiah,Old Testament,Person
Benjamin,Old Testament,Person
Bernice,New Testament,Person
Bethuel,Genesis,Person
Bezalel,Exodus,Person
Bigthan,Old Testament,Person
Bildad,Job,Person
Bilhah,Old Testament,Person
Boaz,Old Testament,Person
Book of Baruch,Old Testament,Person
Brothers of Jesus,New Testament,Person
Caiaphas,New Testament,Person
Cain,Genesis,Person
Cainan,Old Testament,Person
Caleb,Old Testament,Person
Canaan,Old Testament,Person
Canaan,Genesis,Person
Candace,New Testament,Person
Chedorlaomer,Genesis,Person
Chloe,New Testament,Person
Chuza,New Testament,Person
Claudius,Romans,Person
Clement,New Testament,Person
Cleopas,New Testament,Person
Cornelius,Romans,Person
Crispus,New Testament,Person
Cush,Psalms,Person
Cush,Genesis,Person
Cyrus,Old Testament,Person
Dan,Old Testament,Person
Daniel,Old Testament,Person
Darius I,Old Testament,Person
Dathan,Numbers,Person
David,Old Testament,Person
Debir,Old Testament,Person
Deborah,Judges,Person
Deborah,Old Testament,Person
Delilah,Old Testament,Person
Demas,New Testament,Person
Demetrius,New Testament,Person
Dinah,Old Testament,Person
Dionysius the Areopagite,New Testament,Person
Diotrephes,New Testament,Person
Disciple whom Jesus loved,New Testament,Person
Doeg,Old Testament,Person
Domitian,Romans,Person
Dorcas,New Testament,Person
Drusilla,Romans,Person
Ebed Melech,Old Testament,Person
Eber,Genesis,Person
Eglon,Judges,Person
Ehud,Judges,Person
Elah,Old Testament,Person
Elam,Genesis,Person
Eleazar,Old Testament,Person
Eli,Judges,Person
Eliab,Old Testament,Person
Eliashib,Nehemiah,Person
Eliezer,Old Testament,Person
Elihu,Job,Person
Elijah,Old Testament,Person
Elimelech,Old Testament,Person
Eliphaz,Genesis,Person
Eliphaz the Temanite,Job,Person
Elisha,Old Testament,Person
Elisheba,Old Testament,Person
Elizabeth,New Testament,Person
Elon,Judges,Person
Elon the Hittite,Genesis,Person
Elymas,New Testament,Person
Enoch,Genesis,Person
Enoch,Genesis,Person
Enosh,Old Testament,Person
Epaphras,New Testament,Person
Epaphroditus,New Testament,Person
Ephraim,Old Testament,Person
Ephron,Genesis,Person
Er,Genesis,Person
Esarhaddon,Old Testament,Person
Esau,Genesis,Person
Eshbaal,Old Testament,Person
Esther,Old Testament,Person
Ethbaal,Old Testament,Person
Eve,Genesis,Person
Evil-Merodach,Old Testament,Person
Ezekiel,Old Testament,Person
Ezra,Old Testament,Person
False Prophet,Unknown,Person
Gaal,Old Testament,Person
Gabriel,New Testament,Person
Gad,Old Testament,Person
Gad,Old Testament,Person
Gamaliel,New Testament,Person
Gedaliah,Old Testament,Person
Gehazi,Old Testament,Person
Gershom,Old Testament,Person
Gershon,Old Testament,Person
Geshem,Old Testament,Person
Gideon,Joshua,Person
Goliath,Old Testament,Person
Gomer,Genesis,Person
Gomer,Old Testament,Person
Habakkuk,Old Testament,Person
Hadad,Old Testament,Person
Hadadezer,Old Testament,Person
Hagar,Genesis,Person
Haggai,Old Testament,Person
Ham,Genesis,Person
Haman,Old Testament,Person
Hamul,Old Testament,Person
Hanani,Old Testament,Person
Hanani,Old Testament,Person
Hananiah,Old Testament,Person
Hannah,Old Testament,Person
Hanun,Old Testament,Person
Haran,Genesis,Person
Hathach,Old Testament,Person
Hazael,Old Testament,Person
Heber,Old Testament,Person
Herod Agrippa,New Testament,Person
Herod Agrippa II,New Testament,Person
Herod Antipas,New Testament,Person
Herod Archelaus,New Testament,Person
Herod Philip,New Testament,Person
Herod the Great,New Testament,Person
Herodias,New Testament,Person
Hezekiah,Old Testament,Person
Hezron,Old Testament,Person
Hezron,Old Testament,Person
Hiram,Old Testament,Person
Holy Spirit,Old Testament,Person
Hophni,Old Testament,Person
Horites,Old Testament,Person
Hosea,Old Testament,Person
Hoshea,Old Testament,Person
House of Joseph,Old Testament,Person
Huldah,Old Testament,Person
Hur,Old Testament,Person
Huram-Abi,Old Testament,Person
Hushai,Old Testament,Person
Hymenaeus,New Testament,Person
Ibzan,Judges,Person
Ichabod,Old Testament,Person
Impenitent thief,Luke,Person
Irad,Genesis,Person
Isaac,Genesis,Person
Isaiah,Old Testament,Person
Ishmael,Genesis,Person
Ishmael,Genesis,Person
Israel,Unknown,Person
Issachar,Old Testament,Person
Ithamar,Old Testament,Person
Ittai,Old Testament,Person
Jabez,Old Testament,Person
Jabin,Joshua,Person
Jabin,Old Testament,Person
Jacob,Genesis,Person
Jael,Judges,Person
Jair,Judges,Person
Jalam,Genesis,Person
James,New Testament,Person
James,New Testament,Person
James,New Testament,Person
Japheth,Genesis,Person
Jared,Old Testament,Person
Jashobeam,Old Testament,Person
Jeconiah,Old Testament,Person
Jeduthun,Old Testament,Person
Jehoahaz,Old Testament,Person
Jehoahaz of Israel,Old Testament,Person
Jehoahaz of Judah,Old Testament,Person
Jehoash of Israel,Old Testament,Person
Jehoash of Judah,Old Testament,Person
Jehoiada,Old Testament,Person
Jehoiakim,Old Testament,Person
Jehoram of Israel,Old Testament,Person
Jehoram of Judah,Old Testament,Person
Jehoshaphat,Old Testament,Person
Jehoshaphat,Old Testament,Person
Jehosheba,Old Testament,Person
Jehu,Old Testament,Person
Jehu,Old Testament,Person
Jemimah,Job,Person
Jephthah,Judges,Person
Jerah,Genesis,Person
Jeremiah,Old Testament,Person
Jeroboam,Old Testament,Person
Jeroboam II,Old Testament,Person
Jesse,Old Testament,Person
Jesus Barabbas,New Testament,Person
Jesus Christ,New Testament,Person
Jethro,Old Testament,Person
Jeush,Genesis,Person
Jezebel,Old Testament,Person
Joab,Old Testament,Person
Joanna,New Testament,Person
Job,Job,Person
Job's wife,Old Testament,Person
John the Apostle,New Testament,Person
John the Baptist,New Testament,Person
Joiakim,Nehemiah,Person
Joktan,Genesis,Person
Jonah,Old Testament,Person
Jonathan,Old Testament,Person
Jonathan,Old Testament,Person
Joseph,Hebrews,Person
Joseph,Genesis,Person
Joseph of Arimathea,Old Testament,Person
Joseph Smith,Unknown,Person
Joshua,Ezra,Person
Joshua,Old Testament,Person
Josiah,Old Testament,Person
Jotham,Old Testament,Person
Judah,Old Testament,Person
Judas Iscariot,New Testament,Person
Judas Thaddeus,New Testament,Person
Judge,Judges,Person
Judith,Genesis,Person
