simple_name,source,mtg_classification
Light and Darkness,1 John,Enchantment
Love One Another,1 John,Enchantment
Advocate with the Father,1 John,Legendary Creature
Antichrist,1 John,Creature
Born of God,1 John,Creature
Test the Spirits,1 John,Sorcery
Eternal Life,1 John,Enchantment
New Commandment,1 John,Enchantment
Anointing,1 John,Enchantment
Children of God,1 John,Creature
Perfect Love,1 John,Enchantment
Word of Life,1 John,Legendary Creature
Confession of the Son,1 John,Creature
Abide in Him,1 John,Enchantment
Blood and Water,1 John,Sorcery
True Light,1 John,Enchantment
Love Made Complete,1 John,Enchantment
Sin unto Death,1 John,Sorcery
Spirit of Truth,1 John,Creature
World Passed Away,1 John,Sorcery
Overcoming Faith,1 John,Enchantment
Idols,1 John,Artifact
He Who Is from the Beginning,1 John,Legendary Creature
Witness of God,1 John,Instant
