simple_name,source,mtg_classification
Mattathias,1 Maccabees,Legendary Creature
Judas Maccabeus,1 Maccabees,Legendary Creature
Jonathan,1 Maccabees,Legendary Creature
Simon,1 Maccabees,Legendary Creature
Antiochus Epiphanes,1 Maccabees,Legendary Creature
Demetrius,1 Maccabees,Legendary Creature
Lysias,1 Maccabees,Legendary Creature
Nicanor,1 Maccabees,Legendary Creature
Bacchides,1 Maccabees,Legendary Creature
Jerusalem,1 Maccabees,Land
Modein,1 Maccabees,Land
Citadel of Jerusalem,1 Maccabees,Land
Temple Desecration,1 Maccabees,Sorcery
Abomination of Desolation,1 Maccabees,Artifact
Scroll of the Law,1 Maccabees,Artifact
Maccabean Revolt,1 Maccabees,Battle
Battle of Beth Horon,1 Maccabees,Battle
Battle of Emmaus,1 Maccabees,Battle
Battle of Beth Zur,1 Maccabees,Battle
Rededication of the Temple,1 Maccabees,Saga
Hanukkah,1 Maccabees,Enchantment
Hasideans,1 Maccabees,Creature
Priestly Lineage,1 Maccabees,Enchantment
Temple Altar,1 Maccabees,Artifact
Eleazar the Elephant Slayer,1 Maccabees,Creature
Death of Eleazar,1 Maccabees,Sorcery
Treaty with Rome,1 Maccabees,Sorcery
Jonathan's Diplomacy,1 Maccabees,Sorcery
Simon's Peace,1 Maccabees,Enchantment
Victory Song,1 Maccabees,Enchantment
Mourning for Judas,1 Maccabees,Instant
Royal Decree,1 Maccabees,Sorcery
Fortress of Zion,1 Maccabees,Land
