simple_name,source,mtg_classification
Living Hope,1 Peter,Enchantment
Living Stone,1 Peter,Artifact
Fiery Trial,1 Peter,Sorcery
Royal Priesthood,1 Peter,Creature
Shepherd of Souls,1 Peter,Legendary Creature
New Birth,1 Peter,Enchantment
Scattered Exiles,1 Peter,Creature
Humble Yourselves,1 Peter,Instant
Hope of Glory,1 Peter,Enchantment
Enduring Suffering,1 Peter,Enchantment
Babylon,1 Peter,Land
Chief Shepherd,1 Peter,Legendary Creature
Crown of Glory,1 Peter,Artifact
Baptismal Waters,1 Peter,Sorcery
Precious Blood,1 Peter,Sorcery
Stone of Stumbling,1 Peter,Artifact
Cornerstone,1 Peter,Artifact
Holy Conduct,1 Peter,Enchantment
Household Order,1 Peter,Enchantment
Pure Milk,1 Peter,Artifact
Gird Up Loins,1 Peter,Instant
Strangers and Exiles,1 Peter,Creature
Love Covers Sin,1 Peter,Enchantment
Elders' Charge,1 Peter,Sorcery
Morning Hope,1 Peter,Enchantment
Joy in Suffering,1 Peter,Enchantment
Incorruptible Inheritance,1 Peter,Legendary Land
Pilgrim Life,1 Peter,Creature
Good Conscience,1 Peter,Enchantment
Suffering After Christ,1 Peter,Enchantment
Shepherding Flock,1 Peter,Creature
