simple_name,source,mtg_classification
Good Fight,1 Timothy,Battle
Sound Doctrine,1 Timothy,Enchantment
Household of God,1 Timothy,Enchantment
Overseer,1 Timothy,Legendary Creature
Widow List,1 Timothy,Enchantment
Root of All Evil,1 Timothy,Enchantment
Prayer for All,1 Timothy,Sorcery
Rich in Good Works,1 Timothy,Enchantment
Deposit Guarded,1 Timothy,Enchantment
Training in Godliness,1 Timothy,Enchantment
One Mediator,1 Timothy,Enchantment
Scripture Read Aloud,1 Timothy,Enchantment
Sound Speech,1 Timothy,Enchantment
Wealthy in Good Deeds,1 Timothy,Enchantment
Example in Speech,1 Timothy,Enchantment
Bishop's Office,1 Timothy,Enchantment
Timothy's Charge,1 Timothy,Enchantment
Fight the Good Fight,1 Timothy,Battle
Ransom for All,1 Timothy,Sorcery
Godliness with Contentment,1 Timothy,Enchantment
