simple_name,source,mtg_classification
Solomon,2 Chronicles,Legendary Creature
Temple Dedication,2 Chronicles,Saga
Fire from Heaven,2 Chronicles,Instant
Rehoboam,2 Chronicles,Legendary Creature
Asa,2 Chronicles,Legendary Creature
Jehoshaphat,2 Chronicles,Legendary Creature
Prayer in Battle,2 Chronicles,Instant
Uzziah's Pride,2 Chronicles,Enchantment
Hezekiah,2 Chronicles,Legendary Creature
Passover Renewal,2 Chronicles,Saga
Sennacherib's Defeat,2 Chronicles,Battle
Manasseh's Repentance,2 Chronicles,Enchantment
Josiah,2 Chronicles,Legendary Creature
Book of the Law Found,2 Chronicles,Artifact
Temple Cleansing,2 Chronicles,Sorcery
Josiah's Passover,2 Chronicles,Saga
Fall of Jerusalem,2 Chronicles,Saga
Cyrus' Decree,2 Chronicles,Sorcery
Restored Worship,2 Chronicles,Enchantment
Temple Repairs,2 Chronicles,Sorcery
Prayer of Solomon,2 Chronicles,Instant
Bronze Sea,2 Chronicles,Artifact
Priests and Levites,2 Chronicles,Creature
Gatekeepers,2 Chronicles,Creature
Heavenly Fire,2 Chronicles,Instant
Babylonian Exile,2 Chronicles,Saga
Return from Exile,2 Chronicles,Saga
Josiah's Reform,2 Chronicles,Enchantment
