simple_name,source,mtg_classification
Treasure in Jars,2 Corinthians,Artifact
Ministry of Reconciliation,2 Corinthians,Enchantment
New Creation,2 Corinthians,Enchantment
Thorn in the Flesh,2 Corinthians,Artifact
Open Letter,2 Corinthians,Artifact
Veiled Glory,2 Corinthians,Enchantment
Cheerful Giving,2 Corinthians,Enchantment
Weakness Made Strong,2 Corinthians,Enchantment
Aroma of Christ,2 Corinthians,Enchantment
Heavenly Dwelling,2 Corinthians,Enchantment
False Apostles,2 Corinthians,Enchantment
Super-Apostles,2 Corinthians,Legendary Creature
Armor of Righteousness,2 Corinthians,Equipment
Third Heaven,2 Corinthians,Land
Paul's Escape,2 Corinthians,Sorcery
Macedonian Generosity,2 Corinthians,Enchantment
Godly Sorrow,2 Corinthians,Enchantment
Reconciliation Ministry,2 Corinthians,Enchantment
Treasures in Earthen Vessels,2 Corinthians,Artifact
Door of Opportunity,2 Corinthians,Enchantment
Tearing Down Strongholds,2 Corinthians,Enchantment
