simple_name,source,mtg_classification
Elisha,2 Kings,Legendary Creature
Mantle of Elijah,2 Kings,Equipment
Double Portion,2 Kings,Enchantment
Widow's Oil,2 Kings,Instant
Shunammite Son,2 Kings,Legendary Creature
Healing of Naaman,2 Kings,Instant
Floating Axe Head,2 Kings,Artifact
Siege of Samaria,2 Kings,Battle
Miraculous Bread,2 Kings,Sorcery
Fiery Chariots,2 Kings,Instant
Blindness of Aram,2 Kings,Instant
Hezekiah,2 Kings,Legendary Creature
Sennacherib's Fall,2 Kings,Battle
Josiah's Reform,2 Kings,Enchantment
Book of the Law Found,2 Kings,Artifact
Babylonian Exile,2 Kings,Saga
Jehu,2 Kings,Legendary Creature
The Fall of Samaria,2 Kings,Saga
The Fall of Jerusalem,2 Kings,Saga
The Kings' End,2 Kings,Saga
Oil for the Prophets,2 Kings,Artifact
Dead Man Raised,2 Kings,Instant
Gehazi,2 Kings,Legendary Creature
Leprosy of Gehazi,2 Kings,Enchantment
Shadow on the Sundial,2 Kings,Instant
Manasseh,2 Kings,Legendary Creature
Jehoiakim,2 Kings,Legendary Creature
Jehoiachin,2 Kings,Legendary Creature
Zedekiah,2 Kings,Legendary Creature
Temple Burned,2 Kings,Battle
Passover Renewal,2 Kings,Saga
Jehoiada,2 Kings,Legendary Creature
Athaliah,2 Kings,Legendary Creature
Uzziah,2 Kings,Legendary Creature
Elisha's Bones,2 Kings,Artifact
Jehu's Chariot,2 Kings,Vehicle
Assyrian Siege,2 Kings,Battle
Hezekiah's Prayer,2 Kings,Instant
