simple_name,source,mtg_classification
David,2 Samuel,Legendary Creature
Hebron,2 Samuel,Land
Jerusalem,2 Samuel,Land
Ark Brought Up,2 Samuel,Saga
Davidic Covenant,2 Samuel,Enchantment
Mephibosheth,2 Samuel,Legendary Creature
Bathsheba,2 Samuel,Legendary Creature
Nathan's Rebuke,2 Samuel,Instant
Uriah,2 Samuel,Legendary Creature
Absalom,2 Samuel,Legendary Creature
Absalom's Hair,2 Samuel,Artifact
David's Flight,2 Samuel,Saga
Sheba's Rebellion,2 Samuel,Battle
Joab,2 Samuel,Legendary Creature
Tamar,2 Samuel,Legendary Creature
Amnon,2 Samuel,Legendary Creature
The Census,2 Samuel,Sorcery
Plague on Israel,2 Samuel,Sorcery
Ziklag Spoils,2 Samuel,Artifact
The Mighty Men,2 Samuel,Creature
Mahanaim,2 Samuel,Land
David's Lament,2 Samuel,Sorcery
Ish-bosheth,2 Samuel,Legendary Creature
Abner,2 Samuel,Legendary Creature
Rizpah,2 Samuel,Legendary Creature
Barzillai,2 Samuel,Legendary Creature
Water from Bethlehem,2 Samuel,Instant
Threshing Floor of Araunah,2 Samuel,Artifact
House of David,2 Samuel,Enchantment
Gibeonite Reckoning,2 Samuel,Battle
