simple_name,source,mtg_classification
Man of Lawlessness,2 Thessalonians,Legendary Creature
Strong Delusion,2 Thessalonians,Enchantment
Day of the Lord,2 Thessalonians,Enchantment
Standing Firm,2 Thessalonians,Enchantment
Spirit of the Lord,2 Thessalonians,Enchantment
Eternal Destruction,2 Thessalonians,Battle
Letter from Us,2 Thessalonians,Artifact
Tradition Held Fast,2 Thessalonians,Sorcery
Idle Brotherhood,2 Thessalonians,Enchantment
Prayer for Patience,2 Thessalonians,Sorcery
False Alarm,2 Thessalonians,Enchantment
