simple_name,source,mtg_classification
Pentecost,Acts,Sorcery
Upper Room Prayer,Acts,Sorcery
Tongues of Fire,Acts,Enchantment
Stephen's Martyrdom,Acts,Battle
Road to Damascus,Acts,Sorcery
Cornelius' House,Acts,Land
Council of Jerusalem,Acts,Sorcery
Philippian Jail,Acts,Land
Areopagus,Acts,Land
Macedonian Call,Acts,Sorcery
Shipwreck on Malta,Acts,Sorcery
The Way,Acts,Enchantment
Ascension,Acts,Sorcery
Ananias and Sapphira,Acts,Enchantment
Conversion of Saul,Acts,Sorcery
Ethiopian Eunuch,Acts,Legendary Creature
Lydia's House,Acts,Land
Peter's Vision,Acts,Sorcery
Prison Earthquake,Acts,Sorcery
Riot at Ephesus,Acts,Sorcery
Eutychus Raised,Acts,Sorcery
Farewell at Miletus,Acts,Sorcery
Paul's Chains,Acts,Artifact
Paul and Barnabas,Acts,Enchantment
Miracle at Lystra,Acts,Enchantment
Jailbreak at Philippi,Acts,Land
Vision of Macedonia,Acts,Sorcery
Tabitha Raised,Acts,Sorcery
Agabus' Prophecy,Acts,Sorcery
House Church,Acts,Land
Paul before Agrippa,Acts,Enchantment
Shipwreck of Malta,Acts,Sorcery
