simple_name,source,mtg_classification
Plumb Line,Amos,Artifact
Basket of Summer Fruit,Amos,Artifact
Lion's Roar,Amos,Creature
Cows of Bashan,Amos,Creature
Booths of David,Amos,Enchantment
Bethel Altar,Amos,Land
Famine of Hearing,Amos,Enchantment
Sifting Sieve,Amos,Enchantment
Day of the LORD,Amos,Enchantment
Woe to the Easeful,Amos,Enchantment
River of Justice,Amos,Land
Vision of Locusts,Amos,Sorcery
Vision of Fire,Amos,Sorcery
Basket of Fruit,Amos,Artifact
Justice Rolling Down,Amos,Enchantment
Booth of David,Amos,Enchantment
Sifted in a Sieve,Amos,Enchantment
Remnant of Joseph,Amos,Legendary Creature
Mount Carmel,Amos,Land
Pride of Samaria,Amos,Land
Restoring Davids Booth,Amos,Enchantment
