simple_name,source,mtg_classification
Ezra,2 Esdras,Legendary Creature
Uriel,2 Esdras,Legendary Creature
Eagle Vision,2 Esdras,Creature
Lion Vision,2 Esdras,Creature
Woman of Seven Days,2 Esdras,Creature
Son of God,2 Esdras,Legendary Creature
Heavenly Jerusalem,2 Esdras,Land
Mount Zion,2 Esdras,Land
Book of Signs,2 Esdras,Artifact
Days of Tribulation,2 Esdras,Sorcery
End of the Age,2 Esdras,Sorcery
World to Come,2 Esdras,Land
Seed of the Law,2 Esdras,Enchantment
Treasure of Understanding,2 Esdras,Artifact
Two Paths,2 Esdras,Enchantment
Tree of Life,2 Esdras,Land
Waters of Chaos,2 Esdras,Land
Burning World,2 Esdras,Sorcery
Great Judgment,2 Esdras,Sorcery
Man from the Sea,2 Esdras,Legendary Creature
Vision of the Eagle,2 Esdras,Saga
Vision of the Woman,2 Esdras,Saga
Gathering of the Righteous,2 Esdras,Enchantment
Rest for the Faithful,2 Esdras,Enchantment
Final Trumpet,2 Esdras,Instant
New Creation,2 Esdras,Enchantment
The Hidden Age,2 Esdras,Land
Valley of Fire,2 Esdras,Land
