simple_name,source,mtg_classification
Judas Maccabeus,2 Maccabees,Legendary Creature
Eleazar the Scribe,2 Maccabees,Legendary Creature
Seven Brothers,2 Maccabees,Creature
Mother of the Seven,2 Maccabees,Creature
Antiochus Epiphanes,2 Maccabees,Legendary Creature
Heliodorus,2 Maccabees,Legendary Creature
Jason the High Priest,2 Maccabees,Legendary Creature
Menelaus,2 Maccabees,Legendary Creature
Lysias,2 Maccabees,Legendary Creature
Nicanor,2 Maccabees,Legendary Creature
Timotheus,2 Maccabees,Legendary Creature
Temple Treasury,2 Maccabees,Artifact
Holy Fire,2 Maccabees,Instant
Prayer for the Dead,2 Maccabees,Instant
Heavenly Horsemen,2 Maccabees,Creature
Vision of Onias,2 Maccabees,Legendary Creature
Vision of Jeremiah,2 Maccabees,Legendary Creature
Hidden Ark,2 Maccabees,Artifact
Temple Purification,2 Maccabees,Saga
Altar Fire,2 Maccabees,Instant
Judas's Dream,2 Maccabees,Sorcery
Maccabean Martyrdom,2 Maccabees,Battle
Resurrection Hope,2 Maccabees,Enchantment
Nicanor's Defeat,2 Maccabees,Battle
Razis,2 Maccabees,Legendary Creature
Razis' Leap,2 Maccabees,Sorcery
Elephant Charge,2 Maccabees,Battle
Intercession for Israel,2 Maccabees,Instant
Sacred Deposits,2 Maccabees,Artifact
Jeremiah's Sign,2 Maccabees,Artifact
Victory over Hellenism,2 Maccabees,Enchantment
Battle for Jerusalem,2 Maccabees,Battle
Crown of Martyrs,2 Maccabees,Artifact
