simple_name,source,mtg_classification
Mordecai,Additions to Esther,Legendary Creature
Esther,Additions to Esther,Legendary Creature
Ahasuerus,Additions to Esther,Legendary Creature
Haman,Additions to Esther,Legendary Creature
Vashti,Additions to Esther,Legendary Creature
Mordecai's Dream,Additions to Esther,Saga
Two Dragons,Additions to Esther,Creature
Small Spring,Additions to Esther,Land
Great River,Additions to Esther,Land
Bigtan and Teresh,Additions to Esther,Creature
Court Plot,Additions to Esther,Sorcery
Royal Letters,Additions to Esther,Sorcery
Esther's Prayer,Additions to Esther,Instant
Mordecai's Prayer,Additions to Esther,Instant
Golden Scepter,Additions to Esther,Artifact
Unbidden Entrance,Additions to Esther,Instant
Fast of Esther,Additions to Esther,Enchantment
Second Banquet,Additions to Esther,Saga
Haman's Gallows,Additions to Esther,Artifact
Second Decree,Additions to Esther,Sorcery
Book of Records,Additions to Esther,Artifact
Purim,Additions to Esther,Enchantment
City of Susa,Additions to Esther,Land
Jews Defend Themselves,Additions to Esther,Battle
Haman's Fall,Additions to Esther,Sorcery
Mordecai Exalted,Additions to Esther,Enchantment
