simple_name,source,mtg_classification
Baruch,Baruch,Legendary Creature
Jerusalem in Mourning,Baruch,Land
Exile in Babylon,Baruch,Saga
Confession of Sin,Baruch,Sorcery
Prayer of the Exiles,Baruch,Instant
Book of the Covenant,Baruch,Artifact
Wisdom in Exile,Baruch,Enchantment
Way of Light,Baruch,Enchantment
Way of Darkness,Baruch,Enchantment
Return to Zion,Baruch,Sorcery
Comfort for Jerusalem,Baruch,Sorcery
Broken Idols,Baruch,Artifact
Golden Gods,Baruch,Artifact
Children of Babylon,Baruch,Creature
Messenger to the Exiles,Baruch,Creature
Law of Life,Baruch,Enchantment
Hope of Glory,Baruch,Enchantment
Tearful Procession,Baruch,Saga
Forest of Idols,Baruch,Land
Turn Back Israel,Baruch,Instant
Judgment of the Nations,Baruch,Sorcery
The Everlasting King,Baruch,Legendary Creature
Peace of Jerusalem,Baruch,Enchantment
