simple_name,source,mtg_classification
Azariah,Prayer of Azariah,Legendary Creature
Hananiah,Prayer of Azariah,Legendary Creature
Mishael,Prayer of Azariah,Legendary Creature
Abednego,Prayer of Azariah,Legendary Creature
The Three Young Men,Prayer of Azariah,Legendary Creature
Fiery Furnace,Prayer of Azariah,Sorcery
Furnace Fire,Prayer of Azariah,Sorcery
Prayer of Azariah,Prayer of Azariah,Instant
Confession of Sin,Prayer of Azariah,Sorcery
Angel of the Lord,Prayer of Azariah,Legendary Creature
Cooling Wind,Prayer of Azariah,Instant
Dew in the Furnace,Prayer of Azariah,Instant
Song of the Three,Prayer of Azariah,Enchantment
Bless the Lord,Prayer of Azariah,Enchantment
Works of the Lord,Prayer of Azariah,Enchantment
Deliverance from Fire,Prayer of Azariah,Sorcery
Holy Temple,Prayer of Azariah,Land
Merciful Covenant,Prayer of Azariah,Enchantment
Heavens and Waters,Prayer of Azariah,Enchantment
Righteous Judgment,Prayer of Azariah,Enchantment
