simple_name,source,mtg_classification
Manasseh,Prayer of Manasseh,Legendary Creature
Prayer of Manasseh,Prayer of Manasseh,Instant
Captivity in Babylon,Prayer of Manasseh,Saga
Throne of Mercy,Prayer of Manasseh,Land
Broken Heart,Prayer of Manasseh,Enchantment
Sin of Manasseh,Prayer of Manasseh,Sorcery
Mercy of God,Prayer of Manasseh,Enchantment
Heavenly Hosts,Prayer of Manasseh,Creature
Fathers of Israel,Prayer of Manasseh,Creature
Chains of Exile,Prayer of Manasseh,Artifact
Humble King,Prayer of Manasseh,Legendary Creature
Return from Captivity,Prayer of Manasseh,Sorcery
Kneeling in Dust,Prayer of Manasseh,Enchantment
Forgiving God,Prayer of Manasseh,Legendary Creature
Repentant Spirit,Prayer of Manasseh,Enchantment
Prayer for Pardon,Prayer of Manasseh,Instant
The Pit of Sin,Prayer of Manasseh,Land
Hope of the Sinner,Prayer of Manasseh,Enchantment
