simple_name,source,mtg_classification
David,Psalm 151,Legendary Creature
Young Shepherd,Psalm 151,Creature
Lion and Bear,Psalm 151,Creature
Goliath,Psalm 151,Creature
Samuel's Anointing,Psalm 151,Sorcery
Harp of Praise,Psalm 151,Artifact
Small Among Brothers,Psalm 151,Creature
Handful of Sheep,Psalm 151,Creature
Stone from the Brook,Psalm 151,Artifact
Battlefield Victory,Psalm 151,Sorcery
Psalm of David,Psalm 151,Enchantment
Hidden Psalm,Psalm 151,Enchantment
Shepherd Boy,Psalm 151,Creature
Chosen from the Flock,Psalm 151,Legendary Creature
The Anointed One,Psalm 151,Legendary Creature
Field of Combat,Psalm 151,Land
Song of the Harp,Psalm 151,Enchantment
