simple_name,source,mtg_classification
Ben Sira,Sirach,Legendary Creature
Fear of the Lord,Sirach,Enchantment
Honor Father and Mother,Sirach,Enchantment
True Friendship,Sirach,Enchantment
Control of Speech,Sirach,Enchantment
The Physician,Sirach,Creature
The Scribe,Sirach,Creature
The Poor Man,Sirach,Creature
The Proud Man,Sirach,Creature
The Humble Man,Sirach,Creature
Almsgiving,Sirach,Instant
Wisdom's Banquet,Sirach,Sorcery
Law of Moses,Sirach,Enchantment
Praise of the Ancestors,Sirach,Saga
Enoch,Sirach,Legendary Creature
Noah,Sirach,Legendary Creature
Abraham,Sirach,Legendary Creature
Moses,Sirach,Legendary Creature
Aaron,Sirach,Legendary Creature
David,Sirach,Legendary Creature
Elijah,Sirach,Legendary Creature
Elisha,Sirach,Legendary Creature
Joshua Son of Nun,Sirach,Legendary Creature
The Potter,Sirach,Artifact
The Physician's Art,Sirach,Artifact
The Two Ways,Sirach,Saga
The Tongue,Sirach,Artifact
Wisdom at Home,Sirach,Enchantment
Wine and Feasting,Sirach,Enchantment
Friendship Tested,Sirach,Sorcery
The Sinner,Sirach,Creature
The Righteous Poor,Sirach,Creature
Glory of the Law,Sirach,Enchantment
The Crown of Gladness,Sirach,Artifact
