simple_name,source,mtg_classification
Solomon,Wisdom,Legendary Creature
Wisdom Personified,Wisdom,Enchantment
Righteous Man,Wisdom,Creature
Ungodly Man,Wisdom,Creature
Children of Wisdom,Wisdom,Creature
Lovers of Vanity,Wisdom,Creature
Hidden Manna,Wisdom,Artifact
Bronze Serpent,Wisdom,Artifact
Creation by Word,Wisdom,Sorcery
Sea Crossing,Wisdom,Sorcery
Passover Night,Wisdom,Sorcery
Death of the Firstborn,Wisdom,Sorcery
Idols of Stone,Wisdom,Artifact
Folly,Wisdom,Enchantment
Immortality,Wisdom,Enchantment
Just Soul,Wisdom,Creature
Judgment of the Proud,Wisdom,Sorcery
Mercy on the Penitent,Wisdom,Instant
Tree of Life,Wisdom,Land
Pillars of the World,Wisdom,Land
Wisdom's House,Wisdom,Land
Snares of the Wicked,Wisdom,Enchantment
The Flood,Wisdom,Sorcery
The Riddle of the Exodus,Wisdom,Sorcery
The Great Deep,Wisdom,Land
The Just Judge,Wisdom,Legendary Creature
Fear of the LORD,Wisdom,Enchantment
