simple_name,source,mtg_classification
Daniel,Bel and the Dragon,Legendary Creature
Bel,Bel and the Dragon,Artifact
Dragon,Bel and the Dragon,Creature
Temple of Bel,Bel and the Dragon,Land
Priests of Bel,Bel and the Dragon,Creature
King Cyrus,Bel and the Dragon,Legendary Creature
Sealed Chamber,Bel and the Dragon,Artifact
Royal Decree,Bel and the Dragon,Sorcery
Bel's Feast,Bel and the Dragon,Sorcery
Hidden Ashes,Bel and the Dragon,Instant
Exposure of Bel,Bel and the Dragon,Sorcery
Dragon's Slaying,Bel and the Dragon,Sorcery
Pitch and Fat Cakes,Bel and the Dragon,Sorcery
Habakkuk,Bel and the Dragon,Legendary Creature
Angel of the Lord,Bel and the Dragon,Legendary Creature
Lions' Den,Bel and the Dragon,Land
Daniel Delivered,Bel and the Dragon,Sorcery
False Worship,Bel and the Dragon,Enchantment
Idols Exposed,Bel and the Dragon,Sorcery
Shame of the Priests,Bel and the Dragon,Enchantment
King's Wonder,Bel and the Dragon,Instant
