simple_name,source,mtg_classification
Supremacy of Christ,Colossians,Enchantment
Image of the Invisible God,Colossians,Enchantment
Fullness Dwelling,Colossians,Enchantment
Head of the Body,Colossians,Enchantment
Shadow and Substance,Colossians,Enchantment
New Self,Colossians,Enchantment
Hidden with Christ,Colossians,Enchantment
Peace of Christ,Colossians,Enchantment
Certificate of Debt,Colossians,Enchantment
Rooted and Built Up,Colossians,Enchantment
Fullness of God,Colossians,Enchantment
Philosophy and Empty Deceit,Colossians,Enchantment
Word of Christ,Colossians,Enchantment
Household Code,Colossians,Enchantment
Firstborn of Creation,Colossians,Enchantment
Letters from Prison,Colossians,Land
Ransom at the Cross,Colossians,Artifact
Mature in Christ,Colossians,Enchantment
Cosmic Headship,Colossians,Enchantment
Triumphant Cross,Colossians,Artifact
