simple_name,source,mtg_classification
Daniel,Daniel,Legendary Creature
Shadrach,Daniel,Legendary Creature
Meshach,Daniel,Legendary Creature
Abednego,Daniel,Legendary Creature
Nebuchadnezzar,Daniel,Legendary Creature
Belshazzar,Daniel,Legendary Creature
Darius the Mede,Daniel,Legendary Creature
Cyrus the Great,Daniel,Legendary Creature
Michael the Archangel,Daniel,Legendary Creature
Gabriel the Messenger,Daniel,Legendary Creature
Son of Man,Daniel,Legendary Creature
Ancient of Days,Daniel,Legendary Creature
Terrifying Fourth Beast,Daniel Concepts,Legendary Creature
Little Horn,Daniel,Legendary Creature
Prince of Persia,Daniel,Legendary Creature

Golden Image,Daniel,Artifact
Stone Cut Without Hands,Daniel,Artifact

Fiery Furnace,Daniel,Sorcery
Lions' Den,Daniel,Sorcery
Writing on the Wall,Daniel,Sorcery
Deliverance from Fire,Daniel,Sorcery
Deliverance from Lions,Daniel,Sorcery
Mene Mene Tekel Upharsin,Daniel Concepts,Sorcery
Sealed Vision,Daniel,Sorcery
Tree Cut Down,Daniel,Sorcery
Gabriel's Message,Daniel Concepts,Sorcery
Daily Sacrifice,Daniel Concepts,Sorcery

Prayer Toward Jerusalem,Daniel,Instant

Dream of the Statue,Daniel,Saga
Dream of the Tree,Daniel,Saga
Seventy Weeks,Daniel,Saga
Nebuchadnezzar's Rise and Fall,Daniel Concepts,Saga

Ram and Goat,Daniel,Enchantment
Leopard with Wings,Daniel Concepts,Enchantment
Watchers' Decree,Daniel,Enchantment
Kingdom Without End,Daniel,Enchantment
Books Were Opened,Daniel,Enchantment
Time of the End,Daniel,Enchantment
Everlasting Dominion,Daniel,Enchantment
Michael's Stand,Daniel Concepts,Enchantment
Hands and Feet of Bronze,Daniel,Enchantment

Faithful Companions,Daniel Concepts,Creature
Resurrection of the Dead,Daniel,Enchantment
Desolating Abomination,Daniel,Legendary Creature

Ancient Throne,Daniel Concepts,Artifact
