simple_name,title,tribal_line,source,mtg_classification
Belshazzar,Last King of Babylon,Human Noble,Daniel,Legendary Creature

Books Were Opened,,,Daniel,Enchantment

Cyrus the Great,Anointed Liberator,Human King,Daniel,Legendary Creature
Daniel,God Has Judged,Human Prophet,Daniel,Legendary Creature
Darius the Mede,Bound by Decree,Human King,Daniel,Legendary Creature

Deliverance from Fire,,,Daniel,Sorcery

Many Metal Statue,,,Daniel,Enchantment — Saga
Dream of the Tree,,,Daniel,Enchantment — Saga

Fiery Furnace,,,Daniel,Sorcery

Gabriel the Messenger,Herald of Visions,Angel,Daniel,Legendary Creature

Gabriel’s Message,,,Daniel,Sorcery

Ancient of Days,Judge Eternal,God,Daniel,Legendary Creature

Deliverance from the Lions’ Den,,,Daniel,Enchantment

Golden Image,,,Daniel,Artifact

Hands and Feet of Bronze,,,Daniel,Enchantment — Aura

Leopard with Wings,Swift Dominion,Beast,Daniel,Enchantment Creature

Lions’ Den,,,Daniel,Sorcery

Little Horn,Blasphemous King,Demon,Daniel,Legendary Creature

Mene Mene Tekel Upharsin,,,Daniel,Sorcery

Meshach, Shadrach and Abednego,,Human Cleric,Daniel,Legendary Creature

Michael the Archangel,Prince of Heaven’s Host,Angel Warrior,Daniel,Legendary Creature

Michael’s Stand,,,Daniel,Enchantment

Nebuchadnezzar,Beast of the Field,Beast,Daniel,Legendary Creature
Nebuchadnezzar,King of Babylon,Human King,Daniel,Legendary Creature

Son of Man,Coming on the Clouds,Avatar,Daniel,Legendary Creature

Terrifying Fourth Beast,Devourer of Nations,Beast,Daniel,Legendary Creature

Writing on the Wall,,,Daniel,Enchantment — Saga
