simple_name,source,mtg_classification
Shema,Deuteronomy,Enchantment
Love the LORD,Deuteronomy,Enchantment
Teach Them Diligently,Deuteronomy,Enchantment
Book of the Law,Deuteronomy,Artifact
Covenant Renewal,Deuteronomy,Enchantment
Blessing and Curse,Deuteronomy,Enchantment
Choose Life,Deuteronomy,Enchantment
Prophet Like Moses,Deuteronomy,Legendary Creature
Song of Moses,Deuteronomy,Sorcery
Moses' Farewell,Deuteronomy,Saga
Moses on Nebo,Deuteronomy,Saga
Cities of Refuge,Deuteronomy,Land
King's Law,Deuteronomy,Enchantment
Firstfruits Offering,Deuteronomy,Sorcery
Heart Circumcision,Deuteronomy,Enchantment
Remember the Exodus,Deuteronomy,Enchantment
The Greatest Commandment,Deuteronomy,Enchantment
The LORD Is One,Deuteronomy,Enchantment
Law on the Doorposts,Deuteronomy,Enchantment
Law on the Heart,Deuteronomy,Enchantment
Blessed in the Land,Deuteronomy,Enchantment
Disciplined Son,Deuteronomy,Creature
Moses,Deuteronomy,Legendary Creature
Joshua,Deuteronomy,Legendary Creature
Mount Ebal,Deuteronomy,Land
Mount Gerizim,Deuteronomy,Land
Death of Moses,Deuteronomy,Saga
Caleb's Inheritance,Deuteronomy,Land
The Ark of the Covenant,Deuteronomy,Artifact
Witness Against You,Deuteronomy,Enchantment
Year of Release,Deuteronomy,Enchantment
