simple_name,source,mtg_classification
The Preacher,Ecclesiastes,Legendary Creature
Vanity of Vanities,Ecclesiastes,Enchantment
Under the Sun,Ecclesiastes,Enchantment
Time,Ecclesiastes,Enchantment
Seasons,Ecclesiastes,Enchantment
Toil,Ecclesiastes,Enchantment
Chasing the Wind,Ecclesiastes,Enchantment
The Wise,Ecclesiastes,Creature
The Fool,Ecclesiastes,Creature
The Rich Man,Ecclesiastes,Enchantment
The Poor Man,Ecclesiastes,Creature
The Living,Ecclesiastes,Creature
The Dead,Ecclesiastes,Creature
House of Mourning,Ecclesiastes,Enchantment
House of Feasting,Ecclesiastes,Enchantment
Remember Your Creator,Ecclesiastes,Enchantment
The Silver Cord,Ecclesiastes,Artifact
The Golden Bowl,Ecclesiastes,Artifact
The Broken Pitcher,Ecclesiastes,Artifact
Dust to Dust,Ecclesiastes,Enchantment
Spirit Returns,Ecclesiastes,Legendary Creature
The End of the Matter,Ecclesiastes,Saga
Eat and Drink,Ecclesiastes,Enchantment
Joy in Labor,Ecclesiastes,Enchantment
A Good Name,Ecclesiastes,Enchantment
Old Age,Ecclesiastes,Legendary Creature
Youth and Rejoicing,Ecclesiastes,Enchantment
The Sun,Ecclesiastes,Enchantment
The Wind,Ecclesiastes,Enchantment
The River,Ecclesiastes,Land
One Shepherd,Ecclesiastes,Legendary Creature
The Day of Death,Ecclesiastes,Enchantment
The Heart of Fools,Ecclesiastes,Creature
The Teacher,Ecclesiastes,Legendary Creature
Keep the Commandments,Ecclesiastes,Enchantment
The Fear of God,Ecclesiastes,Enchantment
Many Books,Ecclesiastes,Legendary Creature
Work of God,Ecclesiastes,Enchantment
The Oppressor,Ecclesiastes,Enchantment
Wisdom Preserved,Ecclesiastes,Enchantment
Fleeting Breath,Ecclesiastes,Enchantment
Vanishing Smoke,Ecclesiastes,Enchantment
The Trial of Joy,Ecclesiastes,Saga
The Search for Meaning,Ecclesiastes,Saga
The Final Word,Ecclesiastes,Saga
Season of Birth,Ecclesiastes Concepts,Saga
Season of Death,Ecclesiastes Concepts,Saga
Season of War,Ecclesiastes Concepts,Saga
Season of Peace,Ecclesiastes Concepts,Saga
Threefold Cord,Ecclesiastes Concepts,Artifact
The Empty Cistern,Ecclesiastes Concepts,Land
Better Than Two,Ecclesiastes Concepts,Enchantment
Wisdom with Sorrow,Ecclesiastes Concepts,Enchantment
The Quiet Grave,Ecclesiastes Concepts,Land
The Frayed Cord,Ecclesiastes Concepts,Enchantment
