simple_name,source,mtg_classification
Armor of God,Ephesians,Equipment
New Man,Ephesians,Legendary Creature
Wall of Hostility,Ephesians,Enchantment
Temple of Living Stones,Ephesians,Land
Seal of the Spirit,Ephesians,Artifact
Mystery Revealed,Ephesians,Enchantment
Bond of Peace,Ephesians,Enchantment
Fullness of Christ,Ephesians,Enchantment
Helmet of Salvation,Ephesians,Equipment
Sword of the Spirit,Ephesians,Artifact
Two Become One,Ephesians,Enchantment
Sealed with the Spirit,Ephesians,Enchantment
Prince of Power,Ephesians,Enchantment
One New Man,Ephesians,Legendary Creature
Temple Built,Ephesians,Land
Cornerstone,Ephesians,Legendary Creature
Prayer for Power,Ephesians,Sorcery
Riches of Grace,Ephesians,Enchantment
Unity of the Spirit,Ephesians,Enchantment
Walk in Love,Ephesians,Enchantment
Light of Christ,Ephesians,Enchantment
Redeemed by Blood,Ephesians,Enchantment
Gifted Church,Ephesians,Enchantment
Household of God,Ephesians,Enchantment
Child of Light,Ephesians,Enchantment
Armor of the Saints,Ephesians,Equipment
