simple_name,source,mtg_classification
Esther,Esther,Legendary Creature
Mordecai,Esther,Legendary Creature
Haman,Esther,Legendary Creature
Xerxes,Esther,Legendary Creature
Vashti,Esther,Legendary Creature
Royal Banquet,Esther,Saga
Golden Scepter,Esther,Artifact
Casting Lots,Esther,Sorcery
Fast of the Jews,Esther,Enchantment
Haman's Gallows,Esther,Artifact
Deliverance of the Jews,Esther,Saga
Purim,Esther,Enchantment
Book of Remembrance,Esther,Artifact
Royal Decree,Esther,Sorcery
Queen's Crown,Esther,Equipment
Hidden Identity,Esther,Enchantment
Sleepless Night,Esther,Instant
Mordecai Exalted,Esther,Enchantment
Second Banquet,Esther,Saga
Reversal of Fortune,Esther,Enchantment
Royal Robe,Esther,Equipment
Esther's Intercession,Esther,Instant
Jews Defend Themselves,Esther,Battle
City of Susa,Esther,Land
Haman's Fall,Esther,Sorcery
Second Decree,Esther,Sorcery
Mordecai's Honor,Esther,Enchantment
