simple_name,source,mtg_classification
Ezekiel,Ezekiel,Legendary Creature
Son of Man,Ezekiel,Legendary Creature
Wheel Within a Wheel,Ezekiel,Artifact
Living Creatures,Ezekiel,Creature
Cherubim,Ezekiel,Legendary Creature
Hand of the LORD,Ezekiel,Enchantment
Glory Departing,Ezekiel,Legendary Creature
Glory Returning,Ezekiel,Legendary Creature
Eating the Scroll,Ezekiel,Artifact
Watchman,Ezekiel,Legendary Creature
Valley of Dry Bones,Ezekiel,Saga
Dry Bones Army,Ezekiel,Sorcery
New Heart,Ezekiel,Enchantment
New Spirit,Ezekiel,Enchantment
River from the Temple,Ezekiel,Land
Temple Vision,Ezekiel,Saga
Covenant of Peace,Ezekiel,Sorcery
Gog of Magog,Ezekiel,Legendary Creature
Prince of Tyre,Ezekiel,Enchantment
Abominations of Jerusalem,Ezekiel,Land
Mark of Protection,Ezekiel,Enchantment
Sprig of Cedar,Ezekiel,Enchantment
Eagle and Vine,Ezekiel,Enchantment
Cooking Pot of Judgment,Ezekiel,Sorcery
Tottering Wall,Ezekiel,Legendary Creature
Lion Face,Ezekiel,Legendary Creature
Ox Face,Ezekiel,Legendary Creature
Eagle Face,Ezekiel,Legendary Creature
Human Face,Ezekiel,Legendary Creature
Bald Head and Exile,Ezekiel,Sorcery
Street-Drama of Siege,Ezekiel,Battle
Lament for the Princes,Ezekiel,Sorcery
Shepherd of Israel,Ezekiel,Enchantment
Lost Sheep of Israel,Ezekiel,Enchantment
Rebuke of the Mountains,Ezekiel,Enchantment
River of Life,Ezekiel,Land
Tree by the River,Ezekiel,Land
Holy Portion,Ezekiel,Legendary Creature
Holy Abominations,Ezekiel,Legendary Creature
Six Men of Judgment,Ezekiel,Sorcery
Fire from the Throne,Ezekiel,Enchantment
Bones and Sinew,Ezekiel,Enchantment
Restored House,Ezekiel,Legendary Creature
Watchtower Warning,Ezekiel,Sorcery
The Lord Is There,Ezekiel,Enchantment
Wheel Within Wheel,Ezekiel Concepts,Artifact
Four Living Creatures,Ezekiel Concepts,Creature
Cherubim Throne,Ezekiel Concepts,Artifact
Measuring Reed,Ezekiel Concepts,Artifact
