simple_name,source,mtg_classification
Cyrus' Decree,Ezra,Sorcery
Return from Exile,Ezra,Saga
Altar Rebuilt,Ezra,Sorcery
Temple Foundation,Ezra,Artifact
Opposition to the Work,Ezra,Battle
Haggai,Ezra,Legendary Creature
Zechariah,Ezra,Legendary Creature
Ezra,Ezra,Legendary Creature
Journey to Jerusalem,Ezra,Saga
Law Read Aloud,Ezra,Enchantment
Weeping Assembly,Ezra,Enchantment
Foreign Wives,Ezra,Enchantment
Prayer of Ezra,Ezra,Instant
Faithful Remnant,Ezra,Creature
Silver and Gold Vessels,Ezra,Artifact
House of God,Ezra,Artifact
Sheshbazzar,Ezra,Legendary Creature
Zerubbabel,Ezra,Legendary Creature
Jeshua,Ezra,Legendary Creature
Tattenai,Ezra,Legendary Creature
Artaxerxes' Letter,Ezra,Sorcery
Temple Service,Ezra,Enchantment
Sons of Aaron,Ezra,Creature
Sons of Levi,Ezra,Creature
Sons of the Province,Ezra,Creature
