simple_name,source,mtg_classification
Freedom in Christ,Galatians,Enchantment
Works of the Law,Galatians,Enchantment
Fruit of the Spirit,Galatians,Enchantment
Hagar and Sarah,Galatians,Enchantment
Seed of Promise,Galatians,Enchantment
New Creation,Galatians,Enchantment
Cross of Christ,Galatians,Artifact
Walk by the Spirit,Galatians,Enchantment
Curse of the Law,Galatians,Enchantment
No Other Gospel,Galatians,Enchantment
Seed of Abraham,Galatians,Enchantment
New Covenant,Galatians,Enchantment
Gospel of Grace,Galatians,Enchantment
Jerusalem Above,Galatians,Land
Christ Redeemed Us,Galatians,Enchantment
Adoption as Sons,Galatians,Enchantment
Slavery of the Law,Galatians,Enchantment
Burden Bearers,Galatians,Enchantment
Faith Working Through Love,Galatians,Enchantment
Peter at Antioch,Galatians,Land
Paul's Gospel,Galatians,Enchantment
Harvesting the Spirit,Galatians,Enchantment
