simple_name,source,mtg_classification
Adam,Genesis,Legendary Creature
Eve,Genesis,Legendary Creature
Cain,Genesis,Legendary Creature
Abel,Genesis,Legendary Creature
Noah,Genesis,Legendary Creature
Abraham,Genesis,Legendary Creature
Sarah,Genesis,Legendary Creature
Lot,Genesis,Legendary Creature
Hagar,Genesis,Legendary Creature
Ishmael,Genesis,Legendary Creature
Isaac,Genesis,Legendary Creature
Rebekah,Genesis,Legendary Creature
Jacob,Genesis,Legendary Creature
Esau,Genesis,Legendary Creature
Rachel,Genesis,Legendary Creature
Joseph,Genesis,Legendary Creature
Judah,Genesis,Legendary Creature
Tamar,Genesis,Legendary Creature
Benjamin,Genesis,Legendary Creature
Melchizedek,Genesis,Legendary Creature
Potiphar,Genesis,Creature
Potiphar's Wife,Genesis,Creature
Laban,Genesis,Legendary Creature
Abimelech,Genesis,Legendary Creature
Pharaoh,Genesis,Legendary Creature
Eden,Genesis,Land
Babel,Genesis,Land
Shinar,Genesis,Land
Canaan,Genesis,Land
Egypt,Genesis,Land
Bethel,Genesis,Land
Sodom,Genesis,Land
Gomorrah,Genesis,Land
Moriah,Genesis,Land
Beersheba,Genesis,Land
Machpelah,Genesis,Land
Goshen,Genesis,Land
Dothan,Genesis,Land
Peniel,Genesis,Land
Tree of Life,Genesis,Artifact
Tree of Forbidden Knowledge,Genesis,Artifact
Garments of Skin,Genesis,Artifact
Ark of Gopher Wood,Genesis,Artifact
Flaming Sword of the East,Genesis,Artifact
Bow in the Clouds,Genesis,Enchantment
Stone Pillar of Bethel,Genesis,Artifact
Joseph's Coat,Genesis,Artifact
Joseph's Silver Cup,Genesis,Artifact
Ring of Authority,Genesis,Artifact
Birthright Stew,Genesis,Artifact
Let There Be Light,Genesis,Sorcery
The Fall,Genesis,Sorcery
Exile from Eden,Genesis,Sorcery
Noah Builds the Ark,Genesis,Saga
The Flood,Genesis,Saga
Tower of Babel,Genesis,Sorcery
Call of Abram,Genesis,Sorcery
Covenant of Promise,Genesis,Enchantment
Rescue of Lot,Genesis,Sorcery
Birth of Isaac,Genesis,Sorcery
The Binding on Moriah,Genesis,Battle
Stolen Blessing,Genesis,Sorcery
Jacob's Ladder,Genesis,Sorcery
Wrestling with God,Genesis,Battle
Joseph Sold into Egypt,Genesis,Sorcery
Sold for Silver,Genesis,Sorcery
Judah and Tamar,Genesis,Sorcery
Pharaoh's Dreams,Genesis,Sorcery
Seven Years of Famine,Genesis,Saga
Joseph Reveals Himself,Genesis,Sorcery
Jacob Blesses Ephraim and Manasseh,Genesis,Enchantment
Destruction of Sodom and Gomorrah,Genesis,Battle
Covenant of the Rainbow,Genesis,Enchantment
Circumcision as Covenant Token,Genesis,Enchantment
Tithe to Melchizedek,Genesis,Sorcery
Covenant of Mizpah,Genesis,Enchantment
Dreams of Sun and Sheaves,Genesis,Sorcery
What God Meant for Good,Genesis,Enchantment
Lion of Judah,Genesis,Enchantment
Scepter of Judah,Genesis,Artifact
