simple_name,source,mtg_classification
Watchtower,Habakkuk,Land
Tablets of Vision,Habakkuk,Sorcery
Righteous by Faith,Habakkuk,Enchantment
Chaldean Horsemen,Habakkuk,Enchantment
Woe to the Plunderer,Habakkuk,Enchantment
Fig Tree Failure,Habakkuk,Enchantment
Prayer on Shigionoth,Habakkuk,Sorcery
Holy Temple,Habakkuk,Land
Everlasting Rock,Habakkuk,Enchantment
Feet Like Hinds,Habakkuk,Enchantment
Stone Tablets,Habakkuk,Artifact
Fig Tree Fails,Habakkuk,Enchantment
The LORD in His Temple,Habakkuk,Land
Vision Awaited,Habakkuk,Sorcery
