simple_name,source,mtg_classification
Temple Rebuilt,Haggai,Land
Latter Glory,Haggai,Enchantment
Signet Ring,Haggai,Artifact
Shaken Heavens,Haggai,Land
Drought,Haggai,Legendary Creature
Cedar House,Haggai,Land
Consider Your Ways,Haggai,Enchantment
Zerubbabel,Haggai,Legendary Creature
Jeshua,Haggai,Legendary Creature
Joshua the High Priest,Haggai,Legendary Creature
Paneled Houses,Haggai,Enchantment
Shaking the Heavens,Haggai,Land
Desired of the Nations,Haggai,Enchantment
Foundation Stone,Haggai,Artifact
Holy Mountain,Haggai,Land
