simple_name,source,mtg_classification
High Priest,Hebrews,Creature
Melchizedek,Hebrews,Legendary Creature
Pioneer of Salvation,Hebrews,Legendary Creature
Better Covenant,Hebrews,Enchantment
Hall of Faith,Hebrews,Enchantment
Throne of Grace,Hebrews,Enchantment
Once for All,Hebrews,Sorcery
New and Living Way,Hebrews,Enchantment
City to Come,Hebrews,Legendary Land
Anchor of the Soul,Hebrews,Artifact
Rest of God,Hebrews,Enchantment
Cloud of Witnesses,Hebrews,Creature
Son Over the House,Hebrews,Legendary Creature
Word of God,Hebrews,Instant
Heavenly Sanctuary,Hebrews,Legendary Land
Mercy Seat,Hebrews,Artifact
Daily Sacrifice,Hebrews,Sorcery
Shadow and Copy,Hebrews,Enchantment
Great Shepherd,Hebrews,Legendary Creature
Unshakable Kingdom,Hebrews,Enchantment
Mount Zion,Hebrews,Legendary Land
Better Country,Hebrews,Legendary Land
Chastening Hand,Hebrews,Sorcery
Offer of Praise,Hebrews,Instant
Sacrifice of Praise,Hebrews,Enchantment
New Covenant,Hebrews,Enchantment
Sanctified Blood,Hebrews,Sorcery
Falling Away,Hebrews,Sorcery
Esau's Tear,Hebrews,Instant
Forerunner,Hebrews,Creature
Perfected Faith,Hebrews,Enchantment
House of God,Hebrews,Land
Better Hope,Hebrews,Enchantment
Blood of the Covenant,Hebrews,Sorcery
Enduring Reproach,Hebrews,Sorcery
Made Perfect,Hebrews,Enchantment
