simple_name,source,mtg_classification
Gomer,Hosea,Legendary Creature
Ephraim,Hosea,Legendary Creature
Unfaithful Bride,Hosea,Enchantment
Valley of Jezreel,Hosea,Land
Lo-Ruhamah,Hosea,Legendary Creature
Lo-Ammi,Hosea,Legendary Creature
Return to the LORD,Hosea,Sorcery
Rend Your Hearts,Hosea,Enchantment
Ransom from Sheol,Hosea,Sorcery
Rain of Righteousness,Hosea,Enchantment
Calf of Samaria,Hosea,Land
Jezreel,Hosea,Legendary Creature
Hosea's Marriage,Hosea,Enchantment
Morning Dew,Hosea,Enchantment
Broken Covenant,Hosea,Enchantment
Ephraim's Idolatry,Hosea,Enchantment
Love of the LORD,Hosea,Enchantment
Valley of Achor,Hosea,Land
Whirlwind of Judgment,Hosea,Enchantment
