simple_name,source,mtg_classification
Isaiah,Isaiah,Legendary Creature
Ahaz,Isaiah,Legendary Creature
Hezekiah,Isaiah,Legendary Creature
Uzziah,Isaiah,Legendary Creature
Immanuel,Isaiah,Legendary Creature
The Child of Promise,Isaiah,Enchantment
Holy One of Israel,Isaiah,Legendary Creature
Lord of Hosts,Isaiah,Legendary Creature
The Remnant,Isaiah,Creature
Suffering Servant,Isaiah,Legendary Creature
Branch of Jesse,Isaiah,Legendary Creature
Prince of Peace,Isaiah,Legendary Creature
Wonderful Counselor,Isaiah,Legendary Creature
Burning Seraph,Isaiah,Sorcery
Coal from the Altar,Isaiah,Artifact
Woe Oracle,Isaiah,Sorcery
Day of the LORD,Isaiah,Sorcery
Zion,Isaiah,Land
New Jerusalem,Isaiah,Land
Covenant of Peace,Isaiah,Sorcery
Garment of Salvation,Isaiah,Equipment
Everlasting Light,Isaiah,Legendary Creature
Highway of Holiness,Isaiah,Land
Dry Ground,Isaiah,Legendary Creature
Waters in the Wilderness,Isaiah,Land
Renewed Strength,Isaiah,Legendary Creature
Mount Zion,Isaiah,Land
Arm of the LORD,Isaiah,Enchantment
Refiner's Fire,Isaiah,Enchantment
Stumbling Stone,Isaiah,Artifact
Chief Cornerstone,Isaiah,Artifact
Song of the Vineyard,Isaiah,Saga
Vineyard of the LORD,Isaiah,Land
Stubborn Israel,Isaiah,Legendary Creature
Servant of the LORD,Isaiah,Legendary Creature
Tender Shoot,Isaiah,Legendary Creature
Spirit of Wisdom,Isaiah,Enchantment
Land of Promise,Isaiah,Land
Battle Standard,Isaiah,Battle
The Redeemed,Isaiah,Creature
Everlasting Covenant,Isaiah,Sorcery
Desert Bloom,Isaiah,Land
Waters of Joy,Isaiah,Land
New Heaven,Isaiah,Legendary Creature
New Earth,Isaiah,Saga
Comfort My People,Isaiah Concepts,Creature
Voice in the Wilderness,Isaiah Concepts,Land
Servant Song,Isaiah Concepts,Saga
Wolf and Lamb,Isaiah Concepts,Enchantment
Shoot from the Stump,Isaiah Concepts,Enchantment
Swords into Plowshares,Isaiah Concepts,Artifact
Potter and Clay,Isaiah Concepts,Enchantment
Banner to the Nations,Isaiah Concepts,Creature
Sun of Righteousness,Isaiah Concepts,Enchantment
Cyrus the Anointed,Isaiah Concepts,Legendary Creature
