simple_name,source,mtg_classification
Trial of Faith,James,Sorcery
Tongue of Fire,James,Sorcery
Faith Without Works,James,Enchantment
Mirror of the Word,James,Artifact
Crown of Life,James,Artifact
Royal Law,James,Enchantment
Prayer of Faith,James,Instant
Double-Minded Man,James,Creature
Wisdom from Above,James,Enchantment
Patient Farmer,James,Creature
Rich and Poor,James,Sorcery
Doers of the Word,James,Creature
Unbridled Tongue,James,Enchantment
Friend of the World,James,Creature
Pride Before Fall,James,Sorcery
Humble Yourselves,James,Instant
Elijah's Prayer,James,Instant
Confession and Healing,James,Instant
Pure Religion,James,Enchantment
Bridle of the Horse,James,Artifact
Harvest of Peace,James,Enchantment
Mercy Triumphs,James,Enchantment
Boasting Evil,James,Enchantment
Judge at the Door,James,Creature
Scattered Twelve Tribes,James,Creature
Quick to Hear,James,Instant
Slow to Speak,James,Instant
Sin Conceived,James,Sorcery
Law of Liberty,James,Enchantment
Fading Flower,James,Enchantment
