simple_name,source,mtg_classification
Jeremiah,Jeremiah,Legendary Creature
Baruch,Jeremiah,Legendary Creature
Jehoiakim,Jeremiah,Legendary Creature
Zedekiah,Jeremiah,Legendary Creature
Hananiah,Jeremiah,Legendary Creature
Pashhur,Jeremiah,Legendary Creature
The Weeping Prophet,Jeremiah,Enchantment
Almond Branch,Jeremiah,Artifact
Boiling Pot,Jeremiah,Legendary Creature
Linen Belt,Jeremiah,Equipment
Broken Yoke,Jeremiah,Equipment
Written Scroll,Jeremiah,Artifact
Scroll Burned,Jeremiah,Artifact
Potter's Vessel,Jeremiah,Enchantment
Broken Jar,Jeremiah,Artifact
Foe from the North,Jeremiah,Enchantment
City Under Siege,Jeremiah,Battle
Cistern Prison,Jeremiah,Legendary Creature
Pit of Mud,Jeremiah,Artifact
Valley of Slaughter,Jeremiah,Land
Cup of Wrath,Jeremiah,Artifact
Cup of Fury,Jeremiah,Artifact
Seventy Years,Jeremiah,Saga
New Covenant,Jeremiah,Saga
Righteous Branch,Jeremiah,Creature
Good Figs,Jeremiah,Legendary Creature
Bad Figs,Jeremiah,Legendary Creature
Rachel's Weeping,Jeremiah,Enchantment
Stolen Inheritance,Jeremiah,Legendary Creature
Return from Exile,Jeremiah,Sorcery
Temple Sermon,Jeremiah,Legendary Creature
Fire in the Bones,Jeremiah,Enchantment
The Fugitives,Jeremiah,Enchantment
Field of Redemption,Jeremiah,Land
Anathoth,Jeremiah,Land
Ramah,Jeremiah,Legendary Creature
Watchman for Israel,Jeremiah,Enchantment
Desolation of Zion,Jeremiah,Battle
Broken Nation,Jeremiah,Legendary Creature
Hope in the Distance,Jeremiah,Enchantment
Faithful Remnant,Jeremiah,Creature
Vine of the LORD,Jeremiah,Enchantment
Smoldering Judgment,Jeremiah,Sorcery
Siege Ramp,Jeremiah,Battle
Promise of Restoration,Jeremiah,Enchantment
Everlasting Mercy,Jeremiah,Legendary Creature
Potter's House,Jeremiah Concepts,Enchantment
Yoke of Iron,Jeremiah Concepts,Equipment
Boiling Cauldron,Jeremiah Concepts,Artifact
Balm in Gilead,Jeremiah Concepts,Land
Rachel Weeping,Jeremiah Concepts,Legendary Creature
Field in Anathoth,Jeremiah Concepts,Land
