simple_name,source,mtg_classification
Job,Job,Legendary Creature
Satan,Job,Legendary Creature
The Heavenly Court,Job,Sorcery
Land of Uz,Job,Land
Job's Household,Job,Enchantment
Job's Flock,Job,Enchantment
Job's Camels,Job,Enchantment
Job's Losses,Job,Enchantment
Mourning Ashes,Job,Artifact
Torn Robe,Job,Equipment
Sackcloth and Ashes,Job,Artifact
The Ash Heap,Job,Enchantment
Sore Boils,Job,Legendary Creature
Miserable Comforters,Job,Creature
Eliphaz,Job,Legendary Creature
Bildad,Job,Legendary Creature
Zophar,Job,Legendary Creature
Elihu,Job,Legendary Creature
Job's Lament,Job,Sorcery
Day of My Birth,Job,Enchantment
Wisdom Hidden,Job,Enchantment
Fear of the Lord,Job,Enchantment
The Redeemer,Job,Legendary Creature
The Whirlwind,Job,Sorcery
The Divine Speech,Job,Sorcery
The Adversary's Challenge,Job,Enchantment
God's Hedge,Job,Enchantment
Intercession of Job,Job,Enchantment
Mortal Dust,Job,Enchantment
Suffering Trial,Job,Sorcery
Integrity,Job,Enchantment
Question of Innocence,Job,Enchantment
Restored Fortunes,Job,Enchantment
Double Portion,Job,Enchantment
Job's Daughters,Job,Creature
Leviathan,Job,Legendary Creature
Behemoth,Job,Legendary Creature
Testing of Faith,Job,Enchantment
The Endurance of Job,Job,Enchantment
Divine Justice,Job,Enchantment
Storehouses of Snow,Job Concepts,Artifact
Storehouses of Hail,Job Concepts,Artifact
Morning Stars,Job Concepts,Legendary Creature
Constellations,Job Concepts,Legendary Creature
Eagle's Nest,Job Concepts,Enchantment
Seven Days of Silence,Job Concepts,Saga
The Baffling Questions,Job Concepts,Enchantment
Righteous Vindication,Job Concepts,Creature
Leviathan Rising,Job Concepts,Legendary Creature
Behemoth Raging,Job Concepts,Legendary Creature
