simple_name,source,mtg_classification
Locust Swarm,Joel,Creature
Day of the LORD,Joel,Enchantment
Outpouring of the Spirit,Joel,Enchantment
Valley of Jehoshaphat,Joel,Land
Blowing of the Trumpet,Joel,Artifact
Sun Turned to Darkness,Joel,Enchantment
Old Men Dreams,Joel,Enchantment
Young Men Visions,Joel,Enchantment
Valley of Decision,Joel,Land
Wilderness Springs,Joel,Land
Fire Before Them,Joel,Enchantment
Northern Army,Joel,Enchantment
Blowing the Trumpet,Joel,Artifact
Former Rain,Joel,Enchantment
Latter Rain,Joel,Enchantment
Rend Your Hearts,Joel,Enchantment
Holy Assembly,Joel,Enchantment
Sun Darkened,Joel,Enchantment
Blood Moon,Joel,Enchantment
Poured Out Spirit,Joel,Enchantment
Winepress of Judgment,Joel,Enchantment
Zion Refuge,Joel,Land
