simple_name,source,mtg_classification
Jesus Christ,John,Legendary Creature
Mary,John,Legendary Creature
Joseph,John,Legendary Creature
John the Baptist,John,Legendary Creature
Andrew,John,Legendary Creature
Peter,John,Legendary Creature
Philip,John,Legendary Creature
Nathanael,John,Legendary Creature
Nicodemus,John,Legendary Creature
Samaritan Woman,John,Legendary Creature
Mary Magdalene,John,Legendary Creature
Martha,John,Legendary Creature
Lazarus,John,Legendary Creature
Thomas,John,Legendary Creature
Caiaphas,John,Legendary Creature
Pontius Pilate,John,Legendary Creature
Joseph of Arimathea,John,Legendary Creature
Beloved Disciple,John,Legendary Creature
Cana,John,Land
Capernaum,John,Land
Bethany,John,Land
Samaria,John,Land
Pool of Bethesda,John,Land
Pool of Siloam,John,Land
Sea of Galilee,John,Land
Jerusalem,John,Land
Temple Courts,John,Land
Upper Room,John,Land
Gethsemane,John,Land
Golgotha,John,Land
Empty Tomb,John,Land
Wedding Waterpots,John,Artifact
Loaves and Fishes,John,Artifact
Basin and Towel,John,Artifact
Crown of Thorns,John,Artifact
Seamless Robe,John,Artifact
Cross of Crucifixion,John,Artifact
Burial Cloths,John,Artifact
Stone Rolled Away,John,Artifact
Peter's Net,John,Artifact
Charcoal Fire,John,Artifact
Water Jar,John,Artifact
Water into Wine,John,Sorcery
New Birth from Above,John,Enchantment
Living Water,John,Enchantment
Healing at Bethesda,John,Instant
Bread of Life,John,Enchantment
Light of the World,John,Enchantment
Healing the Man Born Blind,John,Instant
Good Shepherd,John,Enchantment
Raising of Lazarus,John,Sorcery
Triumphal Entry,John,Sorcery
Cleansing of the Temple,John,Battle
Washing of the Feet,John,Instant
New Commandment,John,Enchantment
Vine and Branches,John,Enchantment
Farewell Discourse,John,Enchantment
Gethsemane Prayer,John,Instant
Betrayal and Arrest,John,Battle
Trial Before Pilate,John,Battle
Crucifixion,John,Battle
Tomb Emptied,John,Sorcery
Thomas Confesses,John,Enchantment
Breakfast on the Shore,John,Sorcery
Restoration of Peter,John,Enchantment
Commission to Feed My Sheep,John,Enchantment
