simple_name,source,mtg_classification
Great Fish,Jonah,Creature
Storm at Sea,Jonah,Land
Ship of Tarshish,Jonah,Land
Sleeping Prophet,Jonah,Legendary Creature
Nineveh Repentance,Jonah,Sorcery
Bitter Gourd,Jonah,Enchantment
East Wind,Jonah,Enchantment
Second Call,Jonah,Sorcery
City of Nineveh,Jonah,Land
Mercy of God,Jonah,Enchantment
Tarshish Ship,Jonah,Land
Deep Waters,Jonah,Enchantment
Prayer from the Deep,Jonah,Sorcery
Nineveh's Repentance,Jonah,Sorcery
Plant of Shade,Jonah,Enchantment
Worm of Destruction,Jonah,Battle
Mercy for Nineveh,Jonah,Land
Jonah's Anger,Jonah,Enchantment
