simple_name,source,mtg_classification
Joshua,Joshua,Legendary Creature
Rahab,Joshua,Legendary Creature
Scarlet Cord,Joshua,Artifact
Crossing the Jordan,Joshua,Instant
Memorial Stones,Joshua,Artifact
Jericho Trumpets,Joshua,Artifact
Fall of Jericho,Joshua,Battle
Achan's Sin,Joshua,Sorcery
Valley of Achor,Joshua,Land
Commander of the LORD's Army,Joshua,Legendary Creature
Gibeonites,Joshua,Creature
Sun Stands Still,Joshua,Instant
Caleb's Mountain,Joshua,Land
Conquest of the Land,Joshua,Saga
Tabernacle at Shiloh,Joshua,Land
Covenant at Shechem,Joshua,Enchantment
Cities of Refuge,Joshua,Land
Allotment of the Land,Joshua,Enchantment
The Ark Goes Before,Joshua,Artifact
Long Day of Battle,Joshua,Instant
Eleazar,Joshua,Legendary Creature
Phinehas,Joshua,Legendary Creature
Gilgal,Joshua,Land
Twelve Stones,Joshua,Artifact
Circumcision at Gilgal,Joshua,Sorcery
Book of the Law,Joshua,Artifact
Mount Ebal,Joshua,Land
Mount Gerizim,Joshua,Land
Joshua's Farewell,Joshua,Saga
