simple_name,source,mtg_classification
Contend for the Faith,Jude,Sorcery
Kept Angels,Jude,Creature
Sodom and Gomorrah,Jude,Land
Murmuring Wanderers,Jude,Creature
Dark Clouds,Jude,Enchantment
Snatched from Fire,Jude,Instant
Michael the Archangel,Jude,Legendary Creature
Mercy with Fear,Jude,Instant
Wandering Stars,Jude,Land
Cain's Way,Jude,Creature
Balaam's Error,Jude,Sorcery
Korah's Rebellion,Jude,Sorcery
Love Feasts,Jude,Enchantment
Twice Dead Tree,Jude,Creature
Waterless Clouds,Jude,Enchantment
Foaming Waves,Jude,Enchantment
Build Yourselves Up,Jude,Enchantment
Keep Yourselves in Love,Jude,Enchantment
Glorious Presence,Jude,Enchantment
Ungodly Mockers,Jude,Creature
Hidden Reefs,Jude,Artifact
Raging Sea,Jude,Enchantment
