simple_name,source,mtg_classification
Cycles of Apostasy,Judges,Enchantment
Othniel,Judges,Legendary Creature
Ehud,Judges,Legendary Creature
Deborah,Judges,Legendary Creature
Barak,Judges,Legendary Creature
Jael,Judges,Legendary Creature
Midianite Oppression,Judges,Enchantment
Gideon,Judges,Legendary Creature
Gideon's Fleece,Judges,Artifact
Torches and Jars,Judges,Artifact
The Spirit of the LORD,Judges,Enchantment
Jephthah,Judges,Legendary Creature
Samson,Judges,Legendary Creature
Delilah,Judges,Legendary Creature
Samson's Hair,Judges,Equipment
Jawbone Victory,Judges,Battle
Micah's Idol,Judges,Artifact
Dan's Migration,Judges,Saga
Levite's Concubine,Judges,Saga
Benjaminite Civil War,Judges,Battle
Angel of the LORD,Judges,Legendary Creature
Iron Chariots,Judges,Battle
Shamgar,Judges,Legendary Creature
Abimelech,Judges,Legendary Creature
Jotham's Parable,Judges,Sorcery
Jephthah's Vow,Judges,Enchantment
Jephthah's Daughter,Judges,Legendary Creature
Gideon's Three Hundred,Judges,Creature
Samson's Riddle,Judges,Sorcery
