simple_name,source,mtg_classification
Judith,Judith,Legendary Creature
Holofernes,Judith,Legendary Creature
Achior,Judith,Creature
Uzziah,Judith,Creature
Bagoas,Judith,Creature
Nebuchadnezzar,Judith,Legendary Creature
Bethulia,Judith,Land
Jerusalem,Judith,Land
Assyrian Camp,Judith,Land
Judith's Veil,Judith,Artifact
Sword of Judith,Judith,Equipment
Prayer of Judith,Judith,Instant
Fasting of Bethulia,Judith,Enchantment
Assyrian Siege,Judith,Sorcery
Holofernes' Feast,Judith,Sorcery
Night Raid,Judith,Instant
Decapitation of Holofernes,Judith,Sorcery
Head of Holofernes,Judith,Artifact
Judith Returns,Judith,Sorcery
Victory Song,Judith,Enchantment
Temple Offering,Judith,Sorcery
Bagoas's Shock,Judith,Instant
Tents of the Assyrians,Judith,Land
Widow Hero,Judith,Legendary Creature
Praise of Judith,Judith,Enchantment
