simple_name,source,mtg_classification
Aaronic Priesthood,Leviticus,Enchantment
Burnt Offering,Leviticus,Sorcery
Grain Offering,Leviticus,Sorcery
Peace Offering,Leviticus,Sorcery
Sin Offering,Leviticus,Sorcery
Guilt Offering,Leviticus,Sorcery
Holy Fire,Leviticus,Instant
Clean and Unclean,Leviticus,Enchantment
Holy Convocation,Leviticus,Enchantment
Priestly Blessing,Leviticus,Instant
Scapegoat,Leviticus,Creature
Day of Atonement,Leviticus,Saga
Jubilee,Leviticus,Enchantment
Sabbath of the Land,Leviticus,Enchantment
Holy of Holies,Leviticus,Land
Strange Fire,Leviticus,Sorcery
Holiness Code,Leviticus,Enchantment
Leper Cleansing,Leviticus,Instant
Anointing Oil,Leviticus,Artifact
Holy Incense,Leviticus,Artifact
Salt of the Covenant,Leviticus,Artifact
Forbidden Unions,Leviticus,Enchantment
Gleanings for the Poor,Leviticus,Enchantment
Set Apart,Leviticus,Enchantment
Priestly Garments,Leviticus,Equipment
Nadab and Abihu,Leviticus,Saga
Blood Forbidden,Leviticus,Enchantment
Unclean Foods,Leviticus,Enchantment
