simple_name,source,mtg_classification
Messenger of the Covenant,Malachi,Legendary Creature
Refiner's Fire,Malachi,Enchantment
Sun of Righteousness,Malachi,Enchantment
Storehouse Tithes,Malachi,Artifact
Book of Remembrance,Malachi,Artifact
Robbing God,Malachi,Enchantment
Broken Covenant,Malachi,Enchantment
Elijah the Prophet,Malachi,Legendary Creature
Clean Offering,Malachi,Sorcery
Day of the LORD,Malachi,Enchantment
Storehouse,Malachi,Artifact
Faithless Priests,Malachi,Enchantment
Unfaithful Judah,Malachi,Enchantment
Pure Offering,Malachi,Sorcery
Day of Burning,Malachi,Enchantment
Fear of the LORD,Malachi,Enchantment
Robbed Tithes,Malachi,Enchantment
