simple_name,source,mtg_classification
Jesus Christ,Mark,Legendary Creature
Peter,Mark,Legendary Creature
Andrew,Mark,Legendary Creature
James Son of Zebedee,Mark,Legendary Creature
John Son of Zebedee,Mark,Legendary Creature
John the Baptist,Mark,Legendary Creature
Jairus,Mark,Legendary Creature
Blind Bartimaeus,Mark,Creature
Roman Centurion at the Cross,Mark,Creature
Herod Antipas,Mark,Legendary Creature
Judas Iscariot,Mark,Legendary Creature
Mary Magdalene,Mark,Legendary Creature
Syrophoenician Woman,Mark,Legendary Creature
Deaf Man,Mark,Creature
Young Man in Linen,Mark,Creature
Levi,Mark,Legendary Creature
Demon-Possessed Man,Mark,Creature
Capernaum,Mark,Land
Sea of Galilee,Mark,Land
Gerasa,Mark,Land
Bethsaida,Mark,Land
Decapolis,Mark,Land
Caesarea Philippi,Mark,Land
Mount of Transfiguration,Mark,Land
Gethsemane,Mark,Land
Golgotha,Mark,Land
Empty Tomb,Mark,Land
Nazareth,Mark,Land
Jordan River,Mark,Land
Jerusalem,Mark,Land
Loaves and Fishes,Mark,Artifact
Alabaster Jar,Mark,Artifact
Crown of Thorns,Mark,Artifact
Seamless Robe,Mark,Artifact
Stone Rolled Away,Mark,Artifact
Feeding Basket,Mark,Artifact
Fishers' Nets,Mark,Artifact
Fig Tree,Mark,Artifact
Baptism of Jesus,Mark,Sorcery
Temptation in the Wilderness,Mark,Saga
Calling of the Four,Mark,Sorcery
Healing of the Leper,Mark,Instant
Healing of the Paralytic,Mark,Instant
Parable of the Sower,Mark,Enchantment
Mustard Seed,Mark,Enchantment
Calming the Storm,Mark,Instant
Legion Cast into Swine,Mark,Sorcery
Jairus's Daughter Raised,Mark,Sorcery
Woman with an Issue of Blood,Mark,Instant
Feeding of the Five Thousand,Mark,Sorcery
Walking on Water,Mark,Instant
Transfiguration,Mark,Sorcery
Syrophoenician Faith,Mark,Enchantment
Healing of the Deaf Man,Mark,Instant
Feeding of the Four Thousand,Mark,Sorcery
Healing of Blind Bartimaeus,Mark,Instant
Cursing of the Fig Tree,Mark,Sorcery
Widow's Offering,Mark,Instant
Anointing at Bethany,Mark,Enchantment
Last Supper,Mark,Enchantment
Gethsemane Prayer,Mark,Instant
Betrayal and Arrest,Mark,Battle
Trial Before Pilate,Mark,Battle
Crucifixion,Mark,Battle
Centurion's Confession,Mark,Creature
Resurrection,Mark,Sorcery
Great Commission,Mark,Enchantment
