simple_name,source,mtg_classification
Jesus Christ,Matthew,Legendary Creature
Mary,Matthew,Legendary Creature
Joseph,Matthew,Legendary Creature
John the Baptist,Matthew,Legendary Creature
Peter,Matthew,Legendary Creature
Andrew,Matthew,Legendary Creature
James Son of Zebedee,Matthew,Legendary Creature
John Son of Zebedee,Matthew,Legendary Creature
Matthew the Publican,Matthew,Legendary Creature
Judas Iscariot,Matthew,Legendary Creature
Pontius Pilate,Matthew,Legendary Creature
Herod the Great,Matthew,Legendary Creature
Herod Antipas,Matthew,Legendary Creature
Caiaphas,Matthew,Legendary Creature
Magi from the East,Matthew,Creature
Centurion of Capernaum,Matthew,Creature
Mother of Zebedee's Sons,Matthew,Legendary Creature
Barabbas,Matthew,Creature
Joseph of Arimathea,Matthew,Legendary Creature
Mary Magdalene,Matthew,Legendary Creature
Bethlehem,Matthew,Land
Nazareth,Matthew,Land
Jordan River,Matthew,Land
Wilderness of Temptation,Matthew,Land
Capernaum,Matthew,Land
Sea of Galilee,Matthew,Land
Caesarea Philippi,Matthew,Land
Temple Courts,Matthew,Land
Mount of Olives,Matthew,Land
Gethsemane,Matthew,Land
Golgotha,Matthew,Land
Jerusalem,Matthew,Land
Star of Bethlehem,Matthew,Artifact
Gifts of the Magi,Matthew,Artifact
Manger,Matthew,Artifact
Fishers' Nets,Matthew,Artifact
Coin in the Fish,Matthew,Artifact
Five Loaves and Two Fish,Matthew,Artifact
Thirty Pieces of Silver,Matthew,Artifact
Stone Rolled Away,Matthew,Artifact
Crown of Thorns,Matthew,Artifact
Cross of Crucifixion,Matthew,Artifact
Temple Veil,Matthew,Artifact
New Wineskins,Matthew,Artifact
Lamp on a Stand,Matthew,Artifact
Net of the Kingdom,Matthew,Artifact
Nativity,Matthew,Sorcery
Visit of the Magi,Matthew,Sorcery
Flight into Egypt,Matthew,Sorcery
Baptism of Jesus,Matthew,Sorcery
Spirit Descending Like a Dove,Matthew,Instant
Voice from Heaven,Matthew,Instant
Temptation in the Wilderness,Matthew,Saga
Calling of the First Disciples,Matthew,Sorcery
Sermon on the Mount,Matthew,Enchantment
Beatitudes,Matthew,Enchantment
Lord's Prayer,Matthew,Enchantment
Kingdom of Heaven,Matthew,Enchantment
Healing of the Leper,Matthew,Instant
Centurion's Servant Healed,Matthew,Instant
Calming the Storm,Matthew,Instant
Walking on Water,Matthew,Instant
Peter's Confession,Matthew,Enchantment
Transfiguration,Matthew,Sorcery
Parable of the Sower,Matthew,Enchantment
Wheat and Weeds,Matthew,Enchantment
Mustard Seed,Matthew,Enchantment
Hidden Treasure,Matthew,Artifact
Pearl of Great Price,Matthew,Artifact
Dragnet,Matthew,Artifact
Unforgiving Servant,Matthew,Sorcery
Workers in the Vineyard,Matthew,Sorcery
Ten Virgins,Matthew,Enchantment
Talents,Matthew,Sorcery
Sheep and Goats,Matthew,Battle
Triumphal Entry,Matthew,Sorcery
Cleansing of the Temple,Matthew,Battle
Last Supper,Matthew,Enchantment
Gethsemane Prayer,Matthew,Instant
Betrayal Kiss,Matthew,Sorcery
Trial Before Pilate,Matthew,Battle
Crucifixion,Matthew,Battle
Resurrection,Matthew,Sorcery
Great Commission,Matthew,Enchantment
