simple_name,source,mtg_classification
Ruler from Bethlehem,Micah,Land
Plowshares,Micah,Legendary Creature
Mountain of the LORD,Micah,Land
Remnant of Jacob,Micah,Legendary Creature
Shepherd King,Micah,Legendary Creature
Siege Rampart,Micah,Battle
What Does the LORD Require,Micah,Enchantment
Treading the Sea,Micah,Land
Wicked Balance,Micah,Enchantment
Wailing in the Streets,Micah,Enchantment
Bethlehem Ephrathah,Micah,Land
Justice Stream,Micah,Enchantment
Mercy Delight,Micah,Enchantment
Heaps of Stones,Micah,Enchantment
Gleaning Remnant,Micah,Legendary Creature
Walk Humbly,Micah,Enchantment
Daughter of Zion,Micah,Land
Corrupt Measures,Micah,Enchantment
House of Jacob,Micah,Land
