simple_name,source,mtg_classification
Nineveh's Fall,Nahum,Land
Bloody City,Nahum,Enchantment
Floodgate,Nahum,Legendary Creature
Whirlwind,Nahum,Legendary Creature
Broken Yoke,Nahum,Enchantment
Feet of the Messenger,Nahum,Legendary Creature
Stronghold,Nahum,Land
Lion's Den,Nahum,Creature
Burning Chariots,Nahum,Vehicle
Flooding River,Nahum,Land
Chariots of Fire,Nahum,Vehicle
Stronghold of Assyria,Nahum,Land
Worthless Idols,Nahum,Enchantment
No More Affliction,Nahum,Enchantment
Messenger on the Mountains,Nahum,Legendary Creature
Assyria Broken,Nahum,Enchantment
