simple_name,source,mtg_classification
Nehemiah,Nehemiah,Legendary Creature
Cupbearer,Nehemiah,Creature
Wall Rebuilt,Nehemiah,Saga
Jerusalem Gates,Nehemiah,Land
Sanballat,Nehemiah,Legendary Creature
Tobiah,Nehemiah,Legendary Creature
Sword and Trowel,Nehemiah,Artifact
Prayer for Jerusalem,Nehemiah,Instant
Law Read Aloud,Nehemiah,Enchantment
Feast of Booths,Nehemiah,Saga
Covenant Renewal,Nehemiah,Enchantment
Dedication of the Wall,Nehemiah,Saga
Sabbath Reform,Nehemiah,Enchantment
Temple Storehouse,Nehemiah,Artifact
Remember Me,Nehemiah,Instant
Tears of Nehemiah,Nehemiah,Instant
The Great Assembly,Nehemiah,Creature
Rebuilt Gates,Nehemiah,Land
Hanani,Nehemiah,Legendary Creature
Hananiah,Nehemiah,Legendary Creature
Book of Genealogy,Nehemiah,Artifact
Mixed Multitude,Nehemiah,Creature
Wall Patrol,Nehemiah,Creature
Tithe House,Nehemiah,Artifact
Joy of Jerusalem,Nehemiah,Enchantment
