simple_name,source,mtg_classification
Joy in Prison,Philippians,Land
Mind of Christ,Philippians,Enchantment
Pressing Toward the Mark,Philippians,Enchantment
Citizenship in Heaven,Philippians,Land
Contentment,Philippians,Legendary Creature
Peace of God,Philippians,Enchantment
Christ Exalted,Philippians,Enchantment
Shining Lights,Philippians,Enchantment
Sweet Aroma,Philippians,Enchantment
True Companion,Philippians,Enchantment
Christ Hymn,Philippians,Enchantment
Pressing On,Philippians,Enchantment
Partnership in the Gospel,Philippians,Enchantment
Humble Mind,Philippians,Enchantment
Loss for Christ,Philippians,Enchantment
Day of Christ,Philippians,Enchantment
Epaphroditus,Philippians,Legendary Creature
Fruitful Labor,Philippians,Enchantment
Righteous Gain,Philippians,Enchantment
The Risen Lord,Philippians,Enchantment
