simple_name,source,mtg_classification
Solomon,Proverbs,Legendary Creature
Agur,Proverbs,Legendary Creature
Lemuel,Proverbs,Legendary Creature
Lady Wisdom,Proverbs,Enchantment
Woman Folly,Proverbs,Legendary Creature
The Wise Son,Proverbs,Creature
The Fool,Proverbs,Creature
The Sluggard,Proverbs,Creature
The Mocker,Proverbs,Creature
The Fear of the Lord,Proverbs,Enchantment
The Tongue,Proverbs,Enchantment
A Soft Answer,Proverbs,Instant
Honest Weights,Proverbs,Artifact
Diligent Hands,Proverbs,Enchantment
The Slothful Hand,Proverbs,Enchantment
Good Name,Proverbs,Enchantment
Pride,Proverbs,Enchantment
Humility,Proverbs,Enchantment
Discipline,Proverbs,Enchantment
Correction,Proverbs,Enchantment
Prudence,Proverbs,Enchantment
Understanding,Proverbs,Enchantment
Knowledge,Proverbs,Enchantment
The Path of the Righteous,Proverbs,Creature
The Path of the Wicked,Proverbs,Creature
The Friend,Proverbs,Enchantment
The Neighbor,Proverbs,Enchantment
Iron Sharpens Iron,Proverbs,Enchantment
The Ant,Proverbs,Enchantment
Honeycomb,Proverbs,Enchantment
Strong Tower,Proverbs,Enchantment
Fountain of Life,Proverbs,Land
Tree of Life,Proverbs,Enchantment
Virtuous Woman,Proverbs,Enchantment
Adulterous Woman,Proverbs,Enchantment
King's Heart,Proverbs,Creature
Righteous Lips,Proverbs,Creature
Deceitful Lips,Proverbs,Enchantment
Wise Counsel,Proverbs,Creature
Many Advisors,Proverbs,Enchantment
Crown of Glory,Proverbs,Artifact
Joyful Heart,Proverbs,Enchantment
Bitter Words,Proverbs,Enchantment
Secret Things,Proverbs,Enchantment
House of Wisdom,Proverbs,Enchantment
Wealth and Poverty,Proverbs,Enchantment
Temperance,Proverbs,Enchantment
Avoid Drunkenness,Proverbs,Enchantment
Chasten Your Son,Proverbs,Enchantment
Justice and Mercy,Proverbs,Enchantment
Fair Balance,Proverbs,Artifact
Mother's Teaching,Proverbs,Enchantment
Beginning of Wisdom,Proverbs,Enchantment
Better than Gold,Proverbs,Enchantment
Pearls of Wisdom,Proverbs,Enchantment
Gentle Tongue,Proverbs,Enchantment
Life and Death,Proverbs,Enchantment
The Simple,Proverbs,Creature
The Upright Man,Proverbs,Creature
The Wicked Man,Proverbs,Creature
The Righteous One,Proverbs,Creature
Wise Builder,Proverbs Concepts,Creature
House Built on Wisdom,Proverbs Concepts,Enchantment
Fitly Spoken Words,Proverbs Concepts,Instant
The Hidden Pearl,Proverbs Concepts,Artifact
The King's Favor,Proverbs Concepts,Creature
The Precious Stone,Proverbs Concepts,Artifact
The Straight Path,Proverbs Concepts,Land
The Wise Woman,Proverbs Concepts,Legendary Creature
The Ransomed Life,Proverbs Concepts,Enchantment
Rivers of Water,Proverbs Concepts,Enchantment
