simple_name,source,mtg_classification
David,Psalms,Legendary Creature
Asaph,Psalms,Legendary Creature
Moses,Psalms,Legendary Creature
Sons of Korah,Psalms,Creature
Solomon,Psalms,Legendary Creature
The Blessed Man,Psalms,Enchantment
The Righteous,Psalms,Creature
The Wicked,Psalms,Creature
The Psalmist,Psalms,Legendary Creature
The Lord Is My Shepherd,Psalms,Legendary Creature
Green Pastures,Psalms,Enchantment
Still Waters,Psalms,Land
Valley of the Shadow,Psalms,Land
The Lord Is My Light,Psalms,Legendary Creature
Rock of Salvation,Psalms,Enchantment
Fortress,Psalms,Enchantment
Shield,Psalms,Artifact
Refuge,Psalms,Enchantment
Horn of Salvation,Psalms,Artifact
Wings of Refuge,Psalms,Enchantment
Tree by Streams,Psalms,Enchantment
River of Delight,Psalms,Land
Zion,Psalms,Land
Jerusalem,Psalms,Land
The Temple,Psalms,Enchantment
The Ark,Psalms,Artifact
The Covenant,Psalms,Sorcery
The Law of the Lord,Psalms,Artifact
The Anointed King,Psalms,Legendary Creature
The Messiah,Psalms,Legendary Creature
The Nations,Psalms,Creature
Right Hand of God,Psalms,Enchantment
New Song,Psalms,Enchantment
Hallelujah,Psalms,Enchantment
Selah,Psalms,Enchantment
Psalm of Ascent,Psalms,Saga
Broken Heart,Psalms,Enchantment
Contrite Spirit,Psalms,Enchantment
Tears in a Bottle,Psalms,Artifact
Deep Calls to Deep,Psalms,Enchantment
Heavenly Host,Psalms,Legendary Creature
Cedar of Lebanon,Psalms,Enchantment
Grass of the Field,Psalms,Land
Morning Prayer,Psalms,Instant
Night Watch,Psalms,Instant
Harp,Psalms,Artifact
Lyre,Psalms,Artifact
Trumpet,Psalms,Artifact
Cymbals,Psalms,Legendary Creature
Praise,Psalms,Enchantment
Mercy and Truth,Psalms,Enchantment
The Poor and Needy,Psalms,Creature
The Lord Reigns,Psalms,Legendary Creature
The King of Glory,Psalms,Legendary Creature
The Cornerstone,Psalms,Artifact
Rejected Stone,Psalms,Artifact
The Sun and Shield,Psalms,Artifact
The Living God,Psalms,Legendary Creature
The Holy One,Psalms,Legendary Creature
Everlasting Mercy,Psalms,Legendary Creature
The Shepherd King,Psalms,Legendary Creature
The Voice of Many Waters,Psalms,Land
The Earth Trembles,Psalms,Enchantment
Battle Banner,Psalms,Battle
Fire and Smoke,Psalms,Enchantment
Cave of Adullam,Psalms Concepts,Land
Cup of Salvation,Psalms Concepts,Artifact
Garment of Praise,Psalms Concepts,Equipment
Streams in the Desert,Psalms Concepts,Land
Dew of Hermon,Psalms Concepts,Land
Chariots of God,Psalms Concepts,Enchantment
Golden Harp,Psalms Concepts,Artifact
Shadow of Your Wings,Psalms Concepts,Enchantment
Morning Star,Psalms Concepts,Legendary Creature
The Gates of Zion,Psalms Concepts,Land
