simple_name,source,mtg_classification
John of Patmos,Revelation,Legendary Creature
Ephesus,Revelation,Land
Smyrna,Revelation,Land
Pergamum,Revelation,Land
Thyatira,Revelation,Land
Sardis,Revelation,Land
Philadelphia,Revelation,Land
Laodicea,Revelation,Land
Son of Man,Revelation,Legendary Creature
Seven Lampstands,Revelation,Artifact
Seven Stars,Revelation,Artifact
Throne Room,Revelation,Legendary Land
Twenty-Four Elders,Revelation,Creature
Four Living Creatures,Revelation,Creature
Sea of Glass,Revelation,Land
Lamb on the Throne,Revelation,Legendary Creature
Seven Seals,Revelation,Saga
Sealed Scroll,Revelation,Artifact
Four Horsemen,Revelation,Creature
White Horse King,Revelation,Legendary Creature
Martyrs Under the Altar,Revelation,Creature
Cosmic Shaking,Revelation,Sorcery
Trumpet Judgments,Revelation,Saga
Golden Censer,Revelation,Artifact
Wormwood Star,Revelation,Sorcery
Two Witnesses,Revelation,Creature
Measuring Reed,Revelation,Artifact
Temple of God,Revelation,Land
Woman and Dragon,Revelation,Battle
Great Red Dragon,Revelation,Creature
Man Child,Revelation,Legendary Creature
War in Heaven,Revelation,Battle
Michael the Archangel,Revelation,Legendary Creature
Beast from the Sea,Revelation,Creature
Beast from the Earth,Revelation,Creature
Mark of the Beast,Revelation,Artifact
Image of the Beast,Revelation,Artifact
144000,Revelation,Creature
White Robes,Revelation,Equipment
Palms of Victory,Revelation,Artifact
New Song,Revelation,Enchantment
Harvest of Earth,Revelation,Sorcery
Winepress of Wrath,Revelation,Sorcery
Seven Bowls,Revelation,Saga
Babylon the Great,Revelation,Land
Fall of Babylon,Revelation,Sorcery
Harlot Babylon,Revelation,Creature
Scarlet Beast,Revelation,Creature
Marriage Supper of the Lamb,Revelation,Sorcery
Bride of the Lamb,Revelation,Creature
New Jerusalem,Revelation,Legendary Land
River of Life,Revelation,Land
Tree of Life,Revelation,Land
Book of Life,Revelation,Artifact
Thousand Years,Revelation,Saga
Satan Bound,Revelation,Sorcery
First Resurrection,Revelation,Sorcery
Great White Throne,Revelation,Legendary Land
Lake of Fire,Revelation,Enchantment
Second Death,Revelation,Enchantment
New Heaven,Revelation,Land
New Earth,Revelation,Land
Throne of God,Revelation,Legendary Land
Alpha and Omega,Revelation,Legendary Creature
First and Last,Revelation,Legendary Creature
Root of David,Revelation,Legendary Creature
Bright Morning Star,Revelation,Legendary Creature
Lion of Judah,Revelation,Legendary Creature
Faithful and True,Revelation,Legendary Creature
Sword from the Mouth,Revelation,Equipment
Hidden Manna,Revelation,Artifact
White Stone,Revelation,Artifact
Rod of Iron,Revelation,Equipment
Crown of Twelve Stars,Revelation,Artifact
Seven Trumpets,Revelation,Saga
Seven Thunders,Revelation,Sorcery
Bottomless Pit,Revelation,Land
Key of the Abyss,Revelation,Artifact
Locust Horde,Revelation,Creature
