simple_name,source,mtg_classification
Righteousness by Faith,Romans,Enchantment
No Condemnation,Romans,Enchantment
Adam and Christ,Romans,Enchantment
Living Sacrifice,Romans,Sorcery
Body of Christ,Romans,Enchantment
Grafted Olive Tree,Romans,Creature
Spirit of Adoption,Romans,Enchantment
Law of Sin,Romans,Enchantment
Armor of Light,Romans,Equipment
Peace with God,Romans,Enchantment
Obedience of Faith,Romans,Enchantment
Abba Father,Romans,Legendary Creature
No Separation,Romans,Enchantment
Weak and Strong,Romans,Enchantment
Stumbling Block,Romans,Enchantment
Mercy on All,Romans,Enchantment
Faith Comes by Hearing,Romans,Enchantment
Mouth Confession,Romans,Enchantment
Newness of Life,Romans,Enchantment
Dead to Sin,Romans,Enchantment
One Mind,Romans,Enchantment
Minister to the Gentiles,Romans,Enchantment
Peace of God,Romans,Enchantment
